name,data
0,10,9,12,14,14,14,14,14,13,12,11,11,14,17,15,14,15,13,12,13,15,15,15,16,17,14,11,12,13,13,16,16,15,15,17,13,11,12,13,14,16,16,15,15,15,13,12,10,13,12,16,16,15,15,17,20,7,12,12,5,16,17,14,14,20,9,4,6,12,4,17,17,15,12,12,8,4,4,4,4,15,15,15,14,13,13,8,4,2,1,15,15,14,15,13,13,13,6,2,0
1,58,58,62,85,102,102,102,101,81,68,59,62,69,74,82,93,102,81,68,70,67,68,71,72,75,69,64,66,70,69,66,67,70,68,69,66,65,66,69,70,66,66,68,67,69,67,66,62,67,68,65,65,68,68,76,82,51,63,63,58,60,60,62,68,82,62,51,54,63,56,60,60,59,65,63,56,51,51,53,56,58,58,58,62,62,62,56,51,49,50,58,58,57,60,62,62,62,53,49,48
2,29,29,33,40,38,38,38,37,39,40,29,30,39,43,41,40,38,39,40,40,36,36,39,42,44,41,39,39,40,38,36,36,38,39,42,40,40,39,38,37,36,36,37,37,39,38,39,35,36,37,35,36,37,37,40,44,28,35,35,36,30,30,32,36,44,34,31,31,35,35,30,30,29,32,32,31,31,31,31,35,28,28,28,31,32,32,31,31,31,31,27,27,27,30,32,32,32,30,31,31
3,204,204,168,121,150,150,150,172,194,223,206,210,174,100,116,147,179,194,226,255,209,219,219,166,100,170,194,208,255,255,200,212,219,210,247,198,193,217,255,255,200,205,220,223,224,208,224,213,238,255,200,200,223,223,202,193,192,207,207,227,171,171,194,199,193,180,169,187,207,207,171,171,174,182,182,174,169,169,186,207,169,169,176,182,182,182,174,169,169,186,170,170,174,182,182,182,182,173,169,169
