name,cluster,LevelNum
NO.51,6,-30616.0,-30126.0,-30050.0,-30148.0,-30276.0,-30368.0,-30276.0,-30258.0
NO.52,2,-26086.0,-26236.0,-26580.0,-26078.0,-26334.0,-26490.0,-26364.0,-26262.0
NO.53,3,-19330.0,-20978.0,-22660.0,-20750.0,-20896.0,-21322.0,-20980.0,-20980.0
NO.54,0,-16625.0,-16583.0,-16709.0,-16639.0,-16667.0,-16611.0,-16681.0,-16597.0
NO.55,7,-19193.0,-18721.0,-18995.0,-18945.0,-18981.0,-18983.0,-19075.0,-18815.0
NO.56,0,-15686.0,-16234.0,-17010.0,-16036.0,-16320.0,-16574.0,-16356.0,-16262.0
NO.57,1,-6276.0,-5706.0,-5100.0,-5818.0,-5688.0,-5576.0,-5672.0,-5686.0
NO.58,3,-22185.0,-21185.0,-20929.0,-21489.0,-21433.0,-21377.0,-21465.0,-21393.0
NO.59,0,-17509.0,-17173.0,-16799.0,-17117.0,-17173.0,-17191.0,-17191.0,-17117.0
NO.60,1,-5334.0,-5334.0,-5334.0,-5334.0,-5334.0,-5334.0,-5334.0,-5334.0
NO.61,0,-15344.0,-15052.0,-15280.0,-15314.0,-15256.0,-15106.0,-15218.0,-15220.0
NO.62,8,-12607.0,-12971.0,-14063.0,-13307.0,-13223.0,-13111.0,-13251.0,-13167.0
NO.63,4,-8639.0,-9721.0,-10847.0,-9603.0,-9739.0,-9865.0,-9739.0,-9721.0
NO.64,1,-7363.0,-6959.0,-6309.0,-6867.0,-6865.0,-6899.0,-6941.0,-6787.0
NO.65,4,-11533.0,-10117.0,-9131.0,-10317.0,-10265.0,-10199.0,-10321.0,-10195.0
NO.66,8,-13764.0,-13186.0,-12738.0,-13304.0,-13248.0,-13136.0,-13192.0,-13248.0
NO.67,0,-16718.0,-16024.0,-15946.0,-16192.0,-16248.0,-16248.0,-16210.0,-16230.0
NO.68,0,-16107.0,-15855.0,-15855.0,-15981.0,-15939.0,-15897.0,-15981.0,-15897.0
NO.69,3,-22130.0,-21808.0,-22002.0,-22078.0,-21994.0,-21868.0,-21938.0,-22022.0
