time,cluster,data
NO.0,0,0.0,0.0,23.0,40.0,6.0,3.0,-45.0,-25.0,0.0,0.0,-3.0,-51.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,-10.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-11.0,0.0,0.0,-5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,-6.0,-3.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.1,5,0.0,0.0,9.0,9.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,-18.0,0.0,0.0,-9.0,-9.0,38.0,28.0,18.0,9.0,0.0,19.0,28.0,18.0,0.0,-10.0,-10.0,0.0,-20.0,-10.0,0.0,0.0,0.0,-9.0,-9.0,0.0,-9.0,-9.0,0.0,0.0,-10.0,-10.0,0.0,0.0,19.0,28.0,9.0,0.0,9.0,9.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.2,5,-10.0,-16.0,-11.0,0.0,-2.0,-9.0,-20.0,-13.0,9.0,2.0,-17.0,-49.0,0.0,0.0,4.0,6.0,12.0,15.0,11.0,0.0,0.0,4.0,4.0,6.0,6.0,6.0,3.0,0.0,8.0,4.0,0.0,0.0,-15.0,-26.0,-13.0,-11.0,-23.0,-9.0,-14.0,-9.0,-18.0,-7.0,0.0,0.0,2.0,2.0,9.0,9.0,15.0,15.0,2.0,-7.0,9.0,7.0,14.0,7.0,-5.0,0.0,2.0,9.0,-5.0,-5.0,0.0,2.0
NO.3,5,-57.0,-67.0,-58.0,-38.0,-47.0,-38.0,-9.0,-19.0,19.0,10.0,0.0,19.0,9.0,28.0,28.0,19.0,38.0,38.0,29.0,10.0,0.0,0.0,0.0,0.0,0.0,-9.0,-9.0,0.0,-18.0,-9.0,0.0,0.0,-18.0,-19.0,-19.0,-9.0,-20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,19.0,9.0,9.0,0.0,-9.0,9.0,0.0,9.0,9.0,0.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.4,5,-11.0,-15.0,-26.0,-31.0,-15.0,-7.0,0.0,-8.0,-3.0,-2.0,0.0,2.0,-1.0,1.0,2.0,0.0,40.0,25.0,6.0,1.0,0.0,0.0,-1.0,1.0,-8.0,-8.0,-4.0,0.0,0.0,4.0,4.0,0.0,-13.0,-27.0,-20.0,-3.0,-26.0,-11.0,-3.0,0.0,-1.0,-2.0,0.0,0.0,-1.0,-1.0,0.0,0.0,4.0,7.0,6.0,-5.0,0.0,0.0,6.0,6.0,-1.0,0.0,0.0,6.0,-1.0,-1.0,0.0,0.0
NO.5,0,-1.0,-1.0,-1.0,-11.0,-1.0,-1.0,-4.0,-3.0,0.0,0.0,-1.0,-5.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,-1.0,0.0,1.0,1.0,1.0,-6.0,-4.0,-1.0,0.0,4.0,2.0,0.0,0.0,-3.0,-2.0,-6.0,-10.0,-8.0,-3.0,-6.0,-3.0,-8.0,-10.0,-5.0,0.0,-9.0,-12.0,-4.0,0.0,3.0,2.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,0.0,-2.0,-2.0,0.0
NO.6,0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,-4.0,0.0,16.0,24.0,20.0,24.0,12.0,0.0,0.0,8.0,8.0,4.0,0.0,-8.0,-4.0,-4.0,-25.0,0.0,0.0,-21.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,8.0,8.0,4.0,0.0,12.0,12.0,16.0,4.0,-8.0,-4.0,12.0,16.0,-4.0,-4.0,0.0,12.0
NO.7,5,-27.0,-20.0,-10.0,-31.0,-47.0,-44.0,-25.0,-4.0,4.0,2.0,-5.0,-26.0,2.0,9.0,2.0,7.0,38.0,33.0,19.0,5.0,0.0,15.0,15.0,5.0,18.0,13.0,18.0,14.0,10.0,8.0,17.0,14.0,-43.0,-35.0,-11.0,-9.0,-9.0,-2.0,-9.0,-7.0,-2.0,0.0,2.0,0.0,-17.0,-15.0,-3.0,2.0,10.0,7.0,2.0,0.0,0.0,-2.0,0.0,2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-2.0
NO.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,2.0,2.0,-4.0,-2.0,0.0,0.0,0.0,-2.0,-4.0,-4.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
NO.9,5,-12.0,-19.0,-32.0,-19.0,-20.0,-13.0,-13.0,-42.0,-3.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,29.0,19.0,-3.0,-16.0,0.0,3.0,9.0,25.0,6.0,3.0,0.0,0.0,6.0,3.0,3.0,3.0,-16.0,-32.0,-22.0,-22.0,-42.0,-19.0,-22.0,-19.0,-6.0,-3.0,0.0,0.0,-9.0,-9.0,-3.0,3.0,-9.0,-9.0,3.0,4.0,10.0,-3.0,0.0,3.0,12.0,6.0,-3.0,0.0,6.0,12.0,6.0,-3.0
