NO.226,4.6566525,4.30306,3.9624553,3.8446648,3.7368312,3.289367,3.239245,3.211565,2.8180292,2.7433615,2.7018673,2.5384865,2.4265752,2.3874757,0,0,0,0,0,0,0
NO.695,3.992819,3.1994061,4.14024,4.3132634,3.373749,2.8716602,3.6172237,3.5794487,0,2.8923585,0,0,0,0,3.2833233,3.041044,2.9836779,2.835538,2.7022326,0,0
NO.178,4.2591825,3.6458497,4.292601,4.537554,3.6762092,3.30906,3.5449572,3.6178164,2.6270044,2.6934433,2.602843,2.7598941,0,2.6317265,0,2.815833,2.7517595,2.6931603,0,0,0
NO.220,3.7313106,0,4.42901,5.5755973,3.1127424,0,3.5337358,3.9674902,0,0,0,0,0,0,4.515182,3.3338568,3.190565,3.4178278,0,3.175996,0
NO.359,3.934765,3.4382262,4.830178,4.4506474,3.6452277,3.2341073,3.6462383,4.4687233,0,3.0311127,2.7595184,0,0,0,3.0122638,2.857477,3.0562925,2.7193522,3.1302078,3.3830798,3.1987543
NO.350,4.326446,3.949098,5.3066077,4.7204733,4.0782447,3.5131807,3.8234782,3.9028497,0,3.1045012,0,0,0,0,3.3859344,2.9436073,3.2419286,2.9216812,3.166066,3.2570837,2.9770794
NO.360,4.9539547,4.723661,4.4508185,4.349137,4.0691576,3.2954516,3.2945218,3.4249911,2.9192097,3.0796704,3.1270053,2.5823028,3.137533,0,0,0,0,0,2.6084461,0,0
NO.463,3.7107244,0,5.3040605,4.785263,3.2553825,3.7563467,3.498725,4.3668084,0,3.178733,0,0,0,3.0490427,3.549124,3.4680107,3.6101685,0,3.2118306,3.9876277,3.4487193
NO.169,3.5873277,2.716558,4.52563,4.023193,3.0799222,3.5499063,3.5252442,3.354682,0,2.7113154,0,0,0,0,3.8324578,3.1289263,0,2.683373,2.692613,2.7685556,0
NO.509,4.2062154,3.9290433,4.46459,3.937041,3.587294,3.6462438,3.2809463,3.399621,2.522328,2.8240614,2.832167,0,2.514438,2.6231937,0,0,2.6175718,0,2.4971786,0,2.7182271
NO.685,4.3451643,3.8593135,4.0521064,4.4056993,3.6381865,2.8683083,3.4800653,3.6818533,2.4474227,2.9503613,0,2.706793,2.5505505,2.3505015,0,2.3589804,2.9443402,2.8391058,0,0,0
NO.111,4.366072,3.5132957,5.1258264,4.375307,3.7214096,3.4366205,3.6675754,3.9169598,0,3.1315126,2.8261464,0,0,0,3.3331482,2.7110772,2.896553,0,2.930317,3.027249,3.0317116
NO.200,4.2884936,3.8003788,4.149897,4.013815,3.5051107,3.1017148,3.2913642,3.0383701,2.591248,2.809855,2.5408792,2.5480318,2.581935,0,0,2.2717283,2.6718488,2.3803773,0,0,0
NO.66,4.366265,3.735776,5.006695,4.3827076,3.6725652,3.847274,3.6123185,3.9793925,0,3.0977714,3.0732298,0,0,0,2.5789986,0,2.913776,0,2.803805,2.7264595,2.9165437
NO.405,4.306847,3.5509496,5.005027,4.153218,3.7418644,3.6850476,3.5466208,3.9677882,0,3.29316,2.9981613,0,2.693343,2.9240103,0,2.8341615,2.9696574,0,2.9329624,0,3.1039462
NO.628,4.125091,2.9570565,4.9445963,4.3591814,3.3837814,3.3299484,3.779817,3.8405247,0,3.545319,0,0,0,0,3.2867467,3.3291163,3.552546,2.9156635,3.1026247,3.1842031,0
NO.446,4.325717,3.7250457,5.057853,4.6277905,4.087153,3.3705375,3.7316337,4.1530957,0,3.168104,2.8760002,0,2.5684078,0,2.7948356,3.1008494,3.107009,2.6402295,2.9963646,3.232202,2.961173
NO.380,4.4306865,3.7874618,4.7886,4.16721,3.7926736,3.5399485,3.6009889,3.5898085,2.5916808,3.0647838,2.9127116,0,0,2.8895478,0,2.7154093,2.8010364,2.5894625,2.8571346,0,2.8673103
NO.147,3.9826806,3.5890374,4.7974324,4.752858,3.5596032,3.2217152,3.2909813,3.725325,0,2.6863277,0,2.6925006,0,0,3.1626189,2.7913914,3.3727493,3.232201,2.6638832,3.173872,2.8747604
NO.469,4.2196474,3.4455686,5.216603,6.0236516,3.8061962,3.571014,3.6993914,5.3009963,0,3.4417305,0,0,0,2.9395878,2.9598238,3.5908854,4.105407,3.467567,3.3827233,3.8018737,3.4185724
NO.437,4.2326126,3.533555,5.228639,4.4023743,3.6768696,3.7352257,3.5698776,3.8977919,0,3.11563,3.0273356,0,0,0,0,2.9844239,3.0357876,0,3.0716825,3.2216985,3.2672572
NO.284,4.4381156,4.275526,4.1265516,4.0369005,3.635052,3.145705,3.262926,3.0916362,2.7263288,2.8509343,2.6511316,2.4834828,2.7665725,0,0,0,2.5835967,0,0,0,0
NO.574,4.5914564,4.552204,4.1623287,4.2115927,3.6681993,3.053807,3.4911957,3.4382067,2.50781,2.8060176,2.4371297,2.5839186,2.464389,2.3854296,0,0,2.7648668,2.5942204,0,0,0
NO.609,4.6402974,4.1741843,4.0896726,3.9227593,3.6642048,3.1170988,3.3554564,3.0045495,2.6927602,2.9475849,2.469132,2.536908,2.5363097,0,0,0,2.7153678,2.4327066,0,0,0
NO.472,3.4689398,0,5.3767242,4.2931685,0,3.8399515,3.6960483,4.190622,0,0,0,0,0,0,4.8243403,3.6927505,3.4975095,0,3.5585015,4.142811,3.7070014
