name,data
NO.0,255,255,255,112,175,175,175,255,255,255,255,255,255,0,96,223,255,255,255,255,255,255,255,255,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,239,239,255,255,255,255,255,255,255,255,239,239,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
NO.1,170,170,106,0,43,43,43,127,191,170,170,170,149,0,0,21,149,191,170,255,170,170,170,43,0,149,191,191,255,255,170,170,170,170,191,191,212,191,255,255,170,170,170,170,170,191,170,191,170,255,170,170,170,170,191,212,212,212,212,170,149,149,170,170,212,212,191,212,212,212,149,149,149,191,191,170,191,191,191,212,149,149,149,191,191,191,170,191,191,191,106,106,149,191,191,191,191,191,191,191
NO.2,170,170,113,85,142,142,142,142,142,170,170,198,113,85,85,85,142,142,170,198,255,198,198,85,85,113,142,198,198,198,255,227,198,142,198,142,198,198,198,198,255,255,198,142,198,198,170,170,170,198,255,255,142,142,113,170,170,170,170,170,0,0,113,113,170,85,85,85,170,170,0,0,85,142,142,85,85,85,85,170,28,28,85,142,142,142,85,85,85,85,85,85,85,142,142,142,142,85,85,85
NO.3,119,119,136,34,0,0,0,17,170,204,153,170,204,204,119,17,85,170,204,204,221,204,204,204,204,204,170,204,204,204,238,221,204,204,204,204,204,204,204,204,238,238,204,204,204,204,221,204,204,204,255,255,204,204,221,221,204,255,255,204,85,85,187,204,221,204,204,204,255,255,85,85,170,221,221,204,204,204,204,255,119,119,204,221,221,221,204,204,204,204,102,102,170,221,221,221,221,204,204,204
NO.4,213,213,213,149,0,0,0,0,0,64,213,234,213,170,170,42,21,0,85,149,234,234,234,213,170,170,0,64,149,149,234,234,234,234,234,213,85,149,149,149,234,234,234,234,234,234,234,213,149,149,234,234,234,234,234,234,255,213,213,149,170,170,234,234,234,234,191,213,213,213,170,170,213,234,234,234,191,191,213,213,213,213,234,234,234,234,234,191,191,213,213,213,234,234,234,234,234,234,191,191
NO.5,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,255,255,255,255,255,255,255,255,0,0,255,255,255,255,255,255,255,255,0,0,255,255,255,255,255,255,255,255,0,0,255,255,255,255,255,255,0,255,255,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
NO.6,255,255,255,0,0,0,0,0,255,255,255,255,255,255,0,0,128,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,128,255,255,255,255,128,0,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO.7,116,116,116,116,93,93,93,116,116,139,116,116,116,116,116,116,116,116,139,255,116,116,116,116,116,116,116,116,255,255,116,116,116,116,116,116,116,116,255,255,116,116,116,116,116,116,116,116,162,255,116,116,116,116,116,139,46,116,116,116,93,93,116,116,139,116,23,93,116,116,93,93,23,70,70,46,23,23,93,116,23,23,23,70,70,70,46,23,23,93,0,0,0,70,70,70,70,23,23,23
NO.8,85,85,113,142,0,0,0,170,255,255,85,170,255,255,170,142,170,255,255,227,255,255,255,255,255,255,255,255,227,227,255,255,255,255,255,255,255,255,227,227,255,255,255,255,255,255,255,255,227,227,170,170,255,255,227,255,227,255,255,227,113,113,170,198,255,198,170,198,255,255,113,113,85,85,85,142,170,170,170,255,113,113,113,85,85,85,142,170,170,170,113,113,113,85,85,85,85,142,170,170
NO.9,73,73,146,109,36,36,36,109,146,146,146,146,146,146,146,109,146,146,146,182,255,255,255,182,146,146,146,146,182,182,255,255,255,219,255,146,146,146,182,182,255,255,255,219,182,146,146,146,182,182,219,219,219,219,146,146,146,146,146,146,109,109,146,146,146,146,146,146,146,146,109,109,73,146,146,146,146,146,146,146,36,36,36,109,146,146,146,146,146,146,0,0,36,36,146,146,146,146,146,146
