k,file,Silhouette_Coefficient,Calinski_Harabaz_Index,Davies_Bouldin_Index
2,accumulate_GEI_origin_3,0.9239321151876564,990.0826815833201,2.9788967970268274
3,accumulate_GEI_origin_3,0.32235826904661613,741.2307503498242,1.1764233143489369
4,accumulate_GEI_origin_3,0.3379512957046892,703.3878395792292,1.2409724546140044
5,accumulate_GEI_origin_3,0.4079826710833953,713.6173696532657,1.1925498190878998
6,accumulate_GEI_origin_3,0.35800027768105863,692.053395834402,1.1941544388138343
7,accumulate_GEI_origin_3,0.3591532984576163,684.1279406098329,1.3638865061854781
8,accumulate_GEI_origin_3,0.359480562671209,711.707661023746,1.3706052334134264
9,accumulate_GEI_origin_3,0.3077930129759954,718.9915221430538,1.30726956652637
2,quadrantAccumulate_GEI_origin_3,0.9075609868598903,805.4366759585392,2.8713970070140182
3,quadrantAccumulate_GEI_origin_3,0.1675664650123906,515.5041276668575,0.6909337968384527
4,quadrantAccumulate_GEI_origin_3,0.15801501213077496,448.50034334618607,0.7862589957062763
5,quadrantAccumulate_GEI_origin_3,0.15214918753714032,406.4703040000724,0.8438435660406047
6,quadrantAccumulate_GEI_origin_3,0.1615336805608252,364.96122561274103,0.836786514072418
7,quadrantAccumulate_GEI_origin_3,0.15811297041852704,356.91016721623765,0.7980871072821558
8,quadrantAccumulate_GEI_origin_3,0.16706807968915297,342.79885416416425,0.9231524266631657
9,quadrantAccumulate_GEI_origin_3,0.1778101675260662,333.39069283032427,0.9244529292811696
2,quadrantScore_GEI_origin_3,0.9244436899764875,1138.8158277945095,2.8561284081438667
3,quadrantScore_GEI_origin_3,0.4327812566399184,676.5631484513282,0.8488499792781309
4,quadrantScore_GEI_origin_3,0.3692589108098068,605.4101521012459,0.8772375936811833
5,quadrantScore_GEI_origin_3,0.2398566516719817,541.4696781868549,0.9670537022395655
6,quadrantScore_GEI_origin_3,0.2538623804601694,486.3495794332464,0.9862840020771266
7,quadrantScore_GEI_origin_3,0.22584237549578112,470.78337634765256,1.0208172811550449
8,quadrantScore_GEI_origin_3,0.24729687430108963,453.946310264614,1.0376986175430716
9,quadrantScore_GEI_origin_3,0.261697833192123,454.18904774028744,1.1210682966929397
