k,file,Silhouette_Coefficient,Calinski_Harabaz_Index,Davies_Bouldin_Index
2,accumulate_GEI_origin_3,0.9239321151876564,990.0826815833201,2.9788967970268274
3,accumulate_GEI_origin_3,0.31676485002378374,741.306353871238,1.1661467590551327
4,accumulate_GEI_origin_3,0.32721597044619716,703.1534006418709,1.2170050769641754
5,accumulate_GEI_origin_3,0.4017994524573079,713.774660351712,1.1864122521644573
6,accumulate_GEI_origin_3,0.3575515679841892,691.9153809421366,1.1972998408585576
7,accumulate_GEI_origin_3,0.3663460359642696,685.6932044123467,1.2106981728354187
8,accumulate_GEI_origin_3,0.3420475130740298,694.6702719803893,1.3284629502249943
9,accumulate_GEI_origin_3,0.30802777418412236,718.9968631726458,1.3052276350906542
2,accumulate_GEI_level_3,0.3014511981465339,265.2936269975217,0.8379959611852118
3,accumulate_GEI_level_3,0.3742960876028189,276.7085748447673,0.8922053703731204
4,accumulate_GEI_level_3,0.3444895725019534,268.0990230725577,0.9659809224940947
5,accumulate_GEI_level_3,0.3617000444841567,295.2575572665073,1.1074796983659632
6,accumulate_GEI_level_3,0.28234308031353206,305.91402313221295,1.0740900250609644
7,accumulate_GEI_level_3,0.27720487932746096,305.1391090145792,1.0597646192548644
8,accumulate_GEI_level_3,0.28320902218942284,292.1585549189041,1.0049412442998635
9,accumulate_GEI_level_3,0.2572154485539652,285.6828745935298,0.9891801983976826
2,quadrantAccumulate_GEI_origin_3,0.9075609868598903,805.4366759585392,2.8713970070140182
3,quadrantAccumulate_GEI_origin_3,0.8568697320515458,527.3675946388385,2.0408270828397614
4,quadrantAccumulate_GEI_origin_3,0.16190379588699438,448.49225693655427,0.785777558338598
5,quadrantAccumulate_GEI_origin_3,0.14187586951457318,383.3570104890593,0.7041619825978602
6,quadrantAccumulate_GEI_origin_3,0.1882396114797323,378.56308556416764,0.8534129023748888
7,quadrantAccumulate_GEI_origin_3,0.15313133795817288,356.93574016268906,0.7951210765321416
8,quadrantAccumulate_GEI_origin_3,0.15629454102421242,341.71266378539417,0.8980269505595361
9,quadrantAccumulate_GEI_origin_3,0.17688478260548463,334.4746906776802,0.9149864170209907
2,quadrantAccumulate_GEI_level_3,0.23751268598727518,125.6693493122402,0.5108313450934256
3,quadrantAccumulate_GEI_level_3,0.2579146720246606,129.73079074922472,0.7320620286606467
4,quadrantAccumulate_GEI_level_3,0.15388691107031757,132.89267511492952,0.6898031329546285
5,quadrantAccumulate_GEI_level_3,0.11737517077264131,121.85551683140834,0.6327374760097646
6,quadrantAccumulate_GEI_level_3,0.12726484234807506,116.70094815483408,0.6296585354429591
7,quadrantAccumulate_GEI_level_3,0.14599655167124054,113.23351027390386,0.6585967063944832
8,quadrantAccumulate_GEI_level_3,0.14657999124641866,109.3260572217067,0.6719601064647148
9,quadrantAccumulate_GEI_level_3,0.15240377268101657,105.94248342648983,0.7078643904057937
2,quadrantScore_GEI_origin_3,0.9244436899764875,1138.8158277945095,2.8561284081438667
3,quadrantScore_GEI_origin_3,0.7789769915235369,736.5334121989999,1.7284127833853797
4,quadrantScore_GEI_origin_3,0.2443616986545969,614.7242162209038,0.7527740276363319
5,quadrantScore_GEI_origin_3,0.23877461531446093,543.1205129649671,0.9568534805328223
6,quadrantScore_GEI_origin_3,0.2461004134223183,494.70043069971507,0.9417783923213471
7,quadrantScore_GEI_origin_3,0.26608515063918303,459.25511136558237,0.9860549124058897
8,quadrantScore_GEI_origin_3,0.24729687430108963,453.9463102646139,1.0376986175430718
9,quadrantScore_GEI_origin_3,0.2618102005115257,454.1618621664131,1.1206073186344876
2,quadrantScore_GEI_level_3,0.6488760555097519,151.46774676754043,1.3906835067359251
3,quadrantScore_GEI_level_3,0.19973322140261895,125.54191929112991,0.5711557735087414
4,quadrantScore_GEI_level_3,0.21274094535254837,108.26285525468383,0.5902907055887942
5,quadrantScore_GEI_level_3,0.12156016075261171,102.89735171592048,0.5871580132292681
6,quadrantScore_GEI_level_3,0.11379075752374883,97.30851428002138,0.5647164254300919
7,quadrantScore_GEI_level_3,0.11468583948649935,90.81813280112156,0.5662941044748276
8,quadrantScore_GEI_level_3,0.10982017601309209,84.64539387323119,0.5895175282313733
9,quadrantScore_GEI_level_3,0.10452287134698787,79.84791985425126,0.5959985547980134
