NO.226,5.4127526,5.0322137,4.503376,3.9083276,3.900648,3.7383842,3.6834106,3.5691316,0,0,0,0,0,0,0,0,0,0,0,0,0
NO.792,0,0,2.7401578,4.048585,0,0,2.8673987,2.8152587,5.988606,4.2855167,3.9946392,3.5415657,3.3766527,3.162028,3.1473541,2.89689,0,0,0,0,0
NO.695,3.6161785,0,4.8130693,4.6532674,0,0,3.7333052,3.464755,4.5365624,0,4.017903,4.4894605,3.1793778,0,3.4985795,0,4.73923,4.249322,0,0,0
NO.178,4.2356133,4.157918,4.430947,3.8484218,4.25342,3.54506,3.7758503,4.5896077,3.7251232,0,0,3.540343,3.558336,0,0,0,3.947751,3.5725987,3.7515175,0,0
NO.836,3.6576262,0,0,4.8331075,3.9801059,0,4.506359,4.5175233,6.2662673,4.464122,5.0017996,0,4.3223543,4.6875153,4.1992683,4.2098694,0,0,3.8471963,0,0
NO.220,0,0,0,4.111622,3.3296185,0,3.6965194,3.2592542,6.7490835,5.054011,4.546314,0,0,4.2950435,4.8964887,3.2379851,0,0,3.5978067,0,0
NO.359,4.7072854,0,4.8463326,5.163189,3.8502946,0,3.666566,4.0250316,4.8955727,3.573866,4.4503846,5.3613067,3.8860383,3.9794939,3.8999548,4.259955,4.737451,4.1437206,0,0,0
NO.350,4.866942,4.0550823,4.6687245,4.36226,4.45954,3.4436343,3.9535704,4.600428,3.8595893,0,0,3.8922443,0,3.5768316,0,3.6755478,4.387303,4.035156,0,0,0
NO.360,5.03073,5.3127933,4.2755337,3.950373,4.0992923,4.1140337,3.3229802,0,3.371035,0,0,0,3.2827876,0,0,0,0,3.4915636,0,3.844042,0
NO.463,4.526822,5.120778,3.741582,0,3.7276492,3.2591913,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6466787,0
NO.169,0,0,0,4.103974,3.141737,0,3.339415,3.620762,5.7652006,3.4609804,4.149074,3.5564988,3.2142847,4.4624805,3.9105678,4.043493,0,0,4.2312455,0,0
NO.509,5.7060423,5.352613,0,3.8077872,4.256681,4.0522327,0,3.4974353,0,3.9368353,0,0,0,0,0,0,0,0,0,3.655688,3.5575092
NO.829,3.6535804,3.9727468,4.537823,3.1056309,3.0871472,0,0,0,0,0,0,3.3375545,0,0,0,0,4.0205526,3.8278756,0,3.5195735,0
NO.685,3.5037231,3.9030886,3.2088108,3.0917025,0,3.3260944,0,0,4.2328787,3.3526037,0,0,0,0,0,0,0,3.0016408,0,3.6142454,0
NO.111,6.8585515,4.7632904,3.2726965,3.9838362,3.8107324,4.391698,3.4523966,0,0,4.0705175,0,0,0,0,0,0,0,0,0,4.2222457,0
NO.772,4.4280057,3.5069249,4.085239,3.7470438,4.148732,3.2220297,3.455096,3.2722452,3.160448,0,3.3674855,3.2494075,3.8753135,0,0,0,4.0774875,3.7650533,0,0,0
NO.200,0,0,3.0894055,4.0471992,0,0,3.9502268,4.073482,5.3922887,3.611582,4.0756416,4.130142,0,4.088717,3.8061576,4.0805798,3.6246316,3.595015,4.243555,0,0
NO.771,4.603612,5.6156507,3.147784,0,3.7775016,3.4672549,0,3.0662367,0,3.0071197,0,0,0,0,0,0,0,0,0,4.3881636,0
NO.66,4.636206,4.1922197,0,4.415244,4.395417,4.170553,4.2324686,3.988871,4.9249783,3.8255677,3.8726604,0,0,0,0,0,0,0,0,3.3879788,3.502758
NO.405,4.4641423,3.3404784,4.2013836,4.550293,3.4830594,3.5452309,3.3451421,3.22559,3.9741027,0,3.7918887,3.6430628,3.8228748,0,0,0,4.0872073,3.6479902,0,0,0
NO.628,0,0,0,4.740067,3.7008896,3.5711558,0,4.2264676,5.993508,4.271374,4.2084537,0,0,4.8444138,3.7285337,3.7733426,0,0,3.9957993,3.4383194,4.65564
NO.446,3.9656413,3.4701812,4.162589,4.205689,3.2286568,3.3940763,3.9161146,3.552639,5.1009846,3.8454466,3.9894075,3.3876872,0,0,3.2113204,0,3.4887595,3.255,0,3.474187,0
NO.380,4.319917,4.467207,4.433744,3.919018,3.956862,3.3914366,3.5448859,3.7970989,3.5807407,0,0,0,3.608037,0,0,0,3.8449376,3.559383,0,0,0
NO.147,0,0,0,4.034921,3.5183587,0,0,4.575684,4.500961,3.449681,3.246491,0,0,4.909133,0,4.0649514,0,0,4.268101,0,3.4006684
NO.737,4.990768,4.6579037,3.580069,3.2199957,3.8865032,3.7267156,3.1407173,3.5520575,3.2017224,2.9749591,0,0,0,0,0,0,0,0,0,3.7690651,0
NO.469,4.548673,0,3.4674447,4.5620046,4.4107785,3.6316733,3.9532583,4.701902,4.9591904,4.049148,3.9098752,0,0,4.564238,3.5735626,4.229636,0,0,3.9144843,0,4.181941
NO.437,4.4533997,5.0648775,3.7610633,3.8463922,4.4809723,4.0902004,3.525224,4.0536714,3.5577064,0,0,0,0,0,0,0,0,0,3.6807482,0,4.672403
NO.284,3.035437,0,0,4.6280413,3.6529675,3.2221057,0,3.1362724,5.2252665,4.5769997,3.3739896,0,0,4.3768716,3.6926217,3.3129702,0,0,0,0,3.0743003
NO.574,3.427734,0,5.049519,4.5370617,0,0,4.0253487,3.8554184,4.911929,0,4.2082524,4.716472,0,0,4.031094,0,4.604766,4.371654,0,0,0
NO.609,0,0,0,4.266371,3.1854172,0,0,4.1902723,4.775727,2.9605362,3.356584,0,0,4.4162593,3.0111842,3.6818132,0,0,4.400475,0,3.1288314
NO.472,4.418455,4.1368327,3.553666,4.519799,4.122236,4.3980722,3.524175,4.0417786,4.8217654,4.6951275,3.7333837,0,0,3.570542,3.4132805,0,0,0,0,0,4.5358906
NO.660,3.3360589,2.612352,2.9331348,3.2861655,0,2.6104856,3.2021272,2.6150224,4.6732974,4.0988026,3.4905107,2.7729414,2.9477851,0,0,0,0,2.6673777,0,3.3085282,0
NO.177,0,0,0,4.479687,4.3844466,0,0,4.763333,5.572738,4.6806035,4.4648695,0,0,5.6051917,3.9917078,4.5795283,0,0,4.069573,0,4.1174793
NO.724,4.5948105,3.621081,4.2871246,3.9812183,3.6007328,3.455693,4.023713,3.7002094,4.5171185,3.5855763,3.6006606,0,0,0,3.3252854,0,0,3.3416977,0,3.4312103,3.52618
NO.235,0,0,0,4.4502406,5.2053866,3.8398502,3.6999469,4.4595766,5.750336,4.8704495,4.252544,0,0,4.497281,3.7331,3.5135891,0,0,4.428398,0,4.2814164
NO.395,4.684415,5.176679,4.089203,0,3.782805,0,0,3.2139773,0,0,0,0,0,0,0,0,3.5450706,3.227429,0,3.8427327,0
NO.310,0,0,0,4.412901,0,0,4.065349,3.3967242,6.8481417,4.4031196,5.281124,3.941595,4.1470923,3.8158488,4.4493394,3.384299,3.2479475,3.3583455,3.4536734,0,0
NO.363,3.9354703,5.0288157,0,4.1240973,3.9169312,3.7989943,0,4.058792,4.0706325,3.486584,0,0,0,3.237094,0,3.2624183,0,0,3.7714891,3.767604,3.690214
NO.453,4.893363,5.618483,0,3.0691137,3.5272608,3.8225772,0,3.168337,0,3.3998473,0,0,3.4325075,0,0,0,0,0,3.0713317,4.2458034,3.0188704
NO.717,0,0,3.031482,3.9127955,0,0,3.6339145,3.1439838,6.01514,3.6009085,4.712136,4.093226,3.0593388,3.4406319,4.0483274,2.9878829,3.5793242,3.4283407,2.8964143,0,0
NO.430,3.9731271,0,4.558022,4.326953,0,0,3.6002588,0,4.706807,3.5086164,3.7067664,3.9540157,3.7046845,0,3.22725,0,4.1665287,4.0129147,0,3.1199777,0
NO.654,4.216019,0,4.725114,4.2242174,3.7911143,0,4.4757347,4.105941,4.3784375,0,3.9889274,3.92393,3.5541215,0,3.675109,0,4.6216393,4.447141,0,0,0
