NO.226,4.818959,4.7563534,4.261041,4.2379375,4.0351877,3.4493694,3.4031157,3.0915205,2.9363835,2.8918056,2.8814359,2.801229,2.7087848,2.6232548,2.5410795,2.5293078,2.5157795,2.4629648,2.3935428,0,0
NO.792,4.152848,3.9001713,4.333563,4.134047,3.4102123,3.1103663,3.1648955,2.7608707,2.654046,2.4193819,2.966881,2.3748364,0,2.4309483,0,0,0,0,3.0794687,2.389589,0
NO.695,4.3766356,4.146861,4.4278684,4.4251337,3.8795812,3.6995106,3.427413,3.1546926,0,2.6334765,2.912104,2.553694,2.5191724,0,2.4930208,2.7280374,0,0,3.0805311,2.5799794,0
NO.178,4.672522,4.1083117,4.279918,4.0453553,3.8603342,3.436584,3.3071775,3.4563413,2.4367821,2.813219,2.747694,2.9015763,2.5463672,2.4586568,2.4772508,0,2.4944036,2.568142,0,2.5138602,0
NO.836,4.5988965,4.3453894,4.2872744,4.012414,3.6842682,3.2645984,3.2689304,3.1333642,2.807359,2.7051759,2.9186811,2.541522,2.517394,2.5245514,0,0,0,0,2.717741,2.3673573,0
NO.220,4.598957,4.461358,3.8017042,3.802052,3.6937897,3.0393596,3.1978812,2.9490979,2.743658,2.7001705,2.7196934,2.770539,2.6310673,2.4049819,0,0,0,2.395765,2.3209572,0,0
NO.359,4.465621,4.20775,4.5444856,4.5173316,3.8361464,3.5113702,3.3095675,3.1024303,2.8363442,2.7494655,2.9988725,2.6412528,2.4943295,0,0,2.48933,0,0,3.1261191,0,0
NO.350,4.6998553,4.6619873,4.3062234,4.1516347,3.8815787,3.380651,3.3838472,3.2491145,3.0584848,2.9206157,2.9432302,2.7538447,2.4573853,2.5559535,2.5281765,2.4245114,2.630833,2.4151468,2.3974962,2.428972,0
NO.360,4.9645905,4.3011756,4.797089,4.459627,4.238518,3.9044347,3.8170485,3.7727244,2.7285595,3.0262601,2.9958732,2.8529596,2.614741,2.5068212,2.9850621,2.5199056,2.6380162,2.7453182,0,0,2.8351002
NO.463,4.7435656,4.150037,5.3035746,4.542818,4.1761055,4.1115627,3.726534,4.012565,0,3.2819855,3.2985055,2.9585133,0,0,3.2673845,3.0260828,0,0,3.092031,2.945838,3.2260556
NO.169,4.732436,4.2100515,3.9438524,3.8670385,3.7909324,3.0210161,3.2262716,3.1612687,2.4454188,2.688104,2.6869168,2.839498,2.6849751,2.5315547,0,0,2.5396178,2.531041,0,0,0
NO.509,4.6403055,4.0385666,4.9024186,4.3910418,3.9235866,3.9506326,3.5444055,3.5812266,2.9373772,2.9730604,3.18475,0,0,0,2.9144056,0,0,0,2.992229,0,3.01793
NO.829,4.851269,4.3159404,4.6101465,4.3191004,4.0231547,3.6820254,3.5164847,3.3436043,2.5449312,2.8898585,3.0777583,2.6783879,2.6238377,2.5624795,2.5237453,2.5278876,2.4919317,2.6064394,2.5805612,2.7161982,0
NO.685,3.9690897,3.3964267,4.828406,4.739024,3.7255995,0,3.4475384,3.3443522,0,0,0,0,0,0,0,0,0,0,3.531097,0,0
NO.111,4.622733,4.7024875,4.6294794,4.592202,4.0062776,3.8502688,3.599657,3.093673,2.9583035,2.9465165,3.0334682,2.5906672,2.692287,0,2.9662535,2.939261,0,0,2.8062897,2.8799524,2.8221674
