name,data
2018/1/4 18:00,0,0,0,0,33,62,5,0,0,0
2018/1/4 19:00,0,0,0,0,50,50,0,0,0,0
2018/1/4 20:00,0,0,0,0,51,49,0,0,0,0
2018/1/4 21:00,0,0,0,0,80,18,2,0,0,0
2018/1/4 22:00,0,0,0,0,89,11,0,0,0,0
2018/1/4 23:00,0,0,0,0,94,6,0,0,0,0
2018/1/5 00:00,0,0,0,7,87,6,0,0,0,0
2018/1/5 01:00,0,0,0,27,67,6,0,0,0,0
2018/1/5 02:00,0,0,0,12,81,7,0,0,0,0
2018/1/5 03:00,0,0,0,30,70,0,0,0,0,0
2018/1/5 04:00,0,0,0,24,70,6,0,0,0,0
2018/1/5 15:00,68,32,0,0,0,0,0,0,0,0
2018/1/5 16:00,7,68,21,4,0,0,0,0,0,0
2018/1/5 17:00,0,18,24,56,2,0,0,0,0,0
2018/1/5 18:00,0,9,21,36,34,0,0,0,0,0
2018/1/5 19:00,0,3,18,35,42,2,0,0,0,0
2018/1/5 20:00,0,3,23,26,48,0,0,0,0,0
2018/1/5 21:00,0,3,25,26,46,0,0,0,0,0
2018/1/5 22:00,0,0,26,55,19,0,0,0,0,0
2018/1/5 23:00,0,3,20,66,11,0,0,0,0,0
2018/1/6 00:00,0,0,34,57,9,0,0,0,0,0
2018/1/6 01:00,0,0,15,76,9,0,0,0,0,0
2018/1/6 02:00,0,5,16,63,16,0,0,0,0,0
2018/1/6 03:00,0,0,9,75,16,0,0,0,0,0
2018/1/6 04:00,0,0,11,70,19,0,0,0,0,0
2018/1/6 05:00,0,0,10,60,30,0,0,0,0,0
2018/1/6 06:00,0,0,10,50,40,0,0,0,0,0
2018/1/6 07:00,0,0,3,72,25,0,0,0,0,0
2018/1/6 08:00,0,0,12,53,35,0,0,0,0,0
2018/1/6 09:00,0,0,6,70,24,0,0,0,0,0
2018/1/6 10:00,0,0,47,52,1,0,0,0,0,0
2018/1/6 11:00,0,0,72,28,0,0,0,0,0,0
2018/1/6 12:00,0,7,92,1,0,0,0,0,0,0
2018/1/6 13:00,0,69,31,0,0,0,0,0,0,0
2018/1/6 14:00,44,56,0,0,0,0,0,0,0,0
2018/1/6 15:00,99,1,0,0,0,0,0,0,0,0
2018/1/6 16:00,74,22,4,0,0,0,0,0,0,0
2018/1/6 17:00,0,62,38,0,0,0,0,0,0,0
2018/1/6 18:00,0,13,81,6,0,0,0,0,0,0
2018/1/6 19:00,0,42,58,0,0,0,0,0,0,0
2018/1/6 20:00,82,18,0,0,0,0,0,0,0,0
2018/1/6 21:00,100,0,0,0,0,0,0,0,0,0
2018/1/6 22:00,100,0,0,0,0,0,0,0,0,0
2018/1/6 23:00,100,0,0,0,0,0,0,0,0,0
