time,cluster,data
NO.0,1,0.0,-64.0,-61.0,0.0,45.0,-17.0,0.0,0.0,45.0,-6.0,-3.0,0.0,-6.0,-3.0,0.0,6.0,3.0,0.0,16.0,14.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.1,0,0.0,-18.0,-9.0,0.0,9.0,-18.0,0.0,-9.0,9.0,-28.0,-9.0,19.0,-29.0,-38.0,-47.0,-10.0,0.0,10.0,0.0,0.0,9.0,-1.0,-1.0,0.0,38.0,38.0,9.0,0.0,-9.0,-18.0,-9.0,0.0,0.0,0.0,0.0,0.0
NO.2,1,12.0,-6.0,-9.0,18.0,7.0,-29.0,-9.0,19.0,55.0,-17.0,-13.0,1.0,5.0,2.0,-7.0,-1.0,-2.0,-3.0,-2.0,10.0,8.0,10.0,11.0,14.0,20.0,18.0,9.0,-1.0,-1.0,19.0,-21.0,-12.0,-5.0,0.0,-7.0,-7.0
NO.3,0,20.0,68.0,29.0,85.0,38.0,57.0,9.0,27.0,19.0,-57.0,-48.0,-29.0,-9.0,-9.0,-9.0,-9.0,0.0,9.0,8.0,18.0,19.0,20.0,10.0,0.0,20.0,19.0,19.0,9.0,9.0,9.0,-18.0,-18.0,-9.0,9.0,9.0,0.0
NO.4,0,2.0,28.0,29.0,14.0,3.0,12.0,4.0,3.0,0.0,-45.0,-27.0,-5.0,-12.0,-7.0,-5.0,16.0,12.0,8.0,1.0,19.0,17.0,28.0,9.0,3.0,0.0,1.0,0.0,-10.0,-1.0,5.0,-1.0,-6.0,0.0,0.0,-1.0,-6.0
NO.5,1,-2.0,-2.0,8.0,4.0,3.0,-2.0,0.0,2.0,7.0,-8.0,-3.0,2.0,-10.0,-7.0,-4.0,8.0,5.0,2.0,-8.0,-1.0,4.0,-4.0,-5.0,2.0,-1.0,-2.0,3.0,-4.0,-4.0,5.0,-4.0,-3.0,0.0,0.0,-1.0,-3.0
NO.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-9.0,-9.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.7,6,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,40.0,8.0,-12.0,-36.0,-12.0,-4.0,4.0,8.0,-13.0,4.0,0.0,21.0,21.0,0.0,17.0,17.0,12.0,8.0,12.0,-32.0,-8.0,0.0,4.0,-12.0,-4.0
NO.8,0,-40.0,-19.0,7.0,74.0,43.0,1.0,5.0,7.0,40.0,-37.0,-23.0,1.0,7.0,12.0,-2.0,-9.0,-5.0,-1.0,41.0,28.0,9.0,11.0,9.0,11.0,-22.0,-13.0,-5.0,-14.0,-7.0,-2.0,2.0,-2.0,0.0,0.0,2.0,-2.0
NO.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,4.0,4.0,-4.0,-4.0,-2.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,-6.0,-4.0,-2.0,0.0,-2.0,0.0,0.0,0.0,-2.0
