k,file,Silhouette_Coefficient,Calinski_Harabaz_Index,Davies_Bouldin_Index
2,../cnn/data/imagenet_GEI_origin,0.32510289679395943,349.1401767016478,0.7999487436948532
3,../cnn/data/imagenet_GEI_origin,0.3317711817866617,354.1825758500747,0.8755654214282624
4,../cnn/data/imagenet_GEI_origin,0.2649853357849981,310.0246681987917,0.7664701301747079
5,../cnn/data/imagenet_GEI_origin,0.2664514440104378,294.8568777138441,0.817012601611769
6,../cnn/data/imagenet_GEI_origin,0.24460286865616993,272.78282508248077,0.7738835474310218
7,../cnn/data/imagenet_GEI_origin,0.1852215266198584,251.28454013098542,0.7318130679589484
8,../cnn/data/imagenet_GEI_origin,0.1928652359913418,234.73357497984014,0.7629305778608417
9,../cnn/data/imagenet_GEI_origin,0.1865622145879458,222.81406284129753,0.7080515296329948
2,../bow/data/accumulate_GEI_origin,0.9239321151876564,990.0826815833201,2.9788967970268274
3,../bow/data/accumulate_GEI_origin,0.31676485002378374,741.306353871238,1.1661467590551327
4,../bow/data/accumulate_GEI_origin,0.3379512957046892,703.3878395792293,1.2409724546140044
5,../bow/data/accumulate_GEI_origin,0.3985517855604986,713.6096211841577,1.1846280263329878
6,../bow/data/accumulate_GEI_origin,0.39780444259060915,644.2334555356823,1.2888391844985536
7,../bow/data/accumulate_GEI_origin,0.3666029249365641,687.7184690746163,1.2258182360974372
8,../bow/data/accumulate_GEI_origin,0.36465889985095146,711.3950273588501,1.3708635186039846
9,../bow/data/accumulate_GEI_origin,0.3077930129759954,718.9915221430535,1.30726956652637
2,../make_GEI/data/countLevelNum_GEI_origin,0.4188524211133034,435.178255643903,1.005627891396247
3,../make_GEI/data/countLevelNum_GEI_origin,0.5320978248943337,593.6752464225323,1.0753028390687376
4,../make_GEI/data/countLevelNum_GEI_origin,0.6042387046547686,764.9231965516703,1.0753430366442571
5,../make_GEI/data/countLevelNum_GEI_origin,0.6494304577458343,988.2541365828256,1.5896688368461103
6,../make_GEI/data/countLevelNum_GEI_origin,0.6218102251608885,1099.638583450143,1.6891317077581613
7,../make_GEI/data/countLevelNum_GEI_origin,0.6283184181203113,1194.3433782819393,1.860175969270989
8,../make_GEI/data/countLevelNum_GEI_origin,0.607311921861716,1306.6840732922608,1.7579786565067939
9,../make_GEI/data/countLevelNum_GEI_origin,0.5955304747820096,1317.3478655970325,1.7291035136753883
