k,file,Silhouette_Coefficient,Calinski_Harabaz_Index,Davies_Bouldin_Index
2,../cnn/data/imagenet_GEI_level,0.42670627148405277,681.1978050754063,1.1428266283699215
3,../cnn/data/imagenet_GEI_level,0.3120794221057703,566.5341183037989,0.8611720376079334
4,../cnn/data/imagenet_GEI_level,0.2682899564207709,493.3241049781078,0.8171493453970665
5,../cnn/data/imagenet_GEI_level,0.27830750643802665,469.2196243148149,0.8980083584283709
6,../cnn/data/imagenet_GEI_level,0.27176751838342517,428.16914411343424,0.7581968492696778
7,../cnn/data/imagenet_GEI_level,0.26481478441785494,400.3852740100883,0.779813049621394
8,../cnn/data/imagenet_GEI_level,0.24551548393945577,379.35486257130253,0.7786092681839852
9,../cnn/data/imagenet_GEI_level,0.2307163526011639,359.9879665722424,0.7747572452872827
2,../bow/data/accumulate_GEI_level,0.3014511981465339,265.2936269975217,0.8379959611852118
3,../bow/data/accumulate_GEI_level,0.3749141928362999,276.7063532540339,0.8935949593198169
4,../bow/data/accumulate_GEI_level,0.3524906370025718,267.9174493611783,0.966339562301051
5,../bow/data/accumulate_GEI_level,0.3617000444841567,295.2575572665073,1.1074796983659632
6,../bow/data/accumulate_GEI_level,0.28234308031353206,305.91402313221283,1.0740900250609642
7,../bow/data/accumulate_GEI_level,0.27720487932746096,305.1391090145792,1.0597646192548646
8,../bow/data/accumulate_GEI_level,0.28387801581831906,292.5594371714746,1.0201580043665306
9,../bow/data/accumulate_GEI_level,0.257572258981609,285.09256106161297,0.9844167783396813
2,../make_GEI/data/countLevelNum_GEI_level,0.501591138173895,600.3940941613396,1.1081772627073352
3,../make_GEI/data/countLevelNum_GEI_level,0.6479468728095271,1004.0786987054898,1.352115358812517
4,../make_GEI/data/countLevelNum_GEI_level,0.6924444159751728,1254.3251298912771,1.8054701728381048
5,../make_GEI/data/countLevelNum_GEI_level,0.6998109074254463,1283.9110116556958,1.857432595896625
6,../make_GEI/data/countLevelNum_GEI_level,0.621794591549867,1407.5390372728173,1.5379508798542874
7,../make_GEI/data/countLevelNum_GEI_level,0.6178503474483316,1414.988043185895,1.6642814797992318
8,../make_GEI/data/countLevelNum_GEI_level,0.5679761524686311,1390.361032768473,1.2883709489295045
9,../make_GEI/data/countLevelNum_GEI_level,0.5631325773258177,1366.3459239246831,1.2950975283306112
