NO.1,0
NO.10,0
NO.100,0
NO.1000,0
NO.1001,1
NO.1002,1
NO.1003,1
NO.1004,1
NO.101,1
NO.102,2
NO.103,2
NO.104,0
NO.105,0
NO.106,0
NO.107,1
NO.108,1
NO.109,0
NO.11,0
NO.110,1
NO.111,2
NO.112,2
NO.113,1
NO.114,1
NO.115,0
NO.116,1
NO.117,0
NO.118,1
NO.119,1
NO.12,1
NO.120,1
NO.121,1
NO.122,0
NO.123,1
NO.124,1
NO.125,1
NO.126,1
NO.127,1
NO.128,1
NO.129,2
NO.13,1
NO.130,2
NO.131,2
NO.132,2
NO.133,2
NO.134,0
NO.135,2
NO.136,2
NO.137,2
NO.138,2
NO.139,1
NO.14,1
NO.140,2
NO.141,1
NO.142,1
NO.143,1
NO.144,1
NO.145,0
NO.146,2
NO.147,2
NO.148,1
NO.149,2
NO.15,1
NO.150,2
NO.151,2
NO.152,2
NO.153,1
NO.154,1
NO.155,2
NO.156,0
NO.157,2
NO.158,2
NO.159,1
NO.16,1
NO.160,2
NO.161,2
NO.162,1
NO.163,2
NO.164,0
NO.165,0
NO.166,0
NO.167,2
NO.168,0
NO.169,2
NO.17,1
NO.170,2
NO.171,0
NO.172,1
NO.173,1
NO.174,1
NO.175,1
NO.176,1
NO.177,1
NO.178,2
NO.179,2
NO.18,1
NO.180,1
NO.181,1
NO.182,2
NO.183,2
NO.184,2
NO.185,1
NO.186,1
NO.187,1
NO.188,2
NO.189,1
NO.19,2
NO.190,2
NO.191,2
NO.192,2
NO.193,2
NO.194,2
NO.195,2
NO.196,2
NO.197,1
NO.198,2
NO.199,1
NO.2,1
NO.20,1
NO.200,1
NO.201,2
NO.202,1
NO.203,2
NO.204,1
NO.205,2
NO.206,2
NO.207,0
NO.208,2
NO.209,1
NO.21,2
NO.210,2
NO.211,1
NO.212,1
NO.213,3
NO.214,2
NO.215,1
NO.216,2
NO.217,2
NO.218,2
NO.219,1
NO.22,1
NO.220,1
NO.221,1
NO.222,2
NO.223,2
NO.224,2
NO.225,1
NO.226,2
NO.227,2
NO.228,2
NO.229,2
NO.23,1
NO.230,3
NO.231,2
NO.232,2
NO.233,2
NO.234,2
NO.235,2
NO.236,1
NO.237,2
NO.238,2
NO.239,2
NO.24,2
NO.240,1
NO.241,1
NO.242,2
NO.243,2
NO.244,2
NO.245,2
NO.246,2
NO.247,2
NO.248,1
NO.249,2
NO.25,2
NO.250,0
NO.251,2
NO.252,2
NO.253,2
NO.254,2
NO.255,0
NO.256,2
NO.257,0
NO.258,2
NO.259,0
NO.26,1
NO.260,2
NO.261,2
NO.262,2
NO.263,2
NO.264,2
NO.265,2
NO.266,2
NO.267,2
NO.268,2
NO.269,0
NO.27,2
NO.270,1
NO.271,1
NO.272,1
NO.273,1
NO.274,2
NO.275,1
NO.276,1
NO.277,1
NO.278,1
NO.279,2
NO.28,1
NO.280,1
NO.281,1
NO.282,1
NO.283,1
NO.284,1
NO.285,1
NO.286,2
NO.287,1
NO.288,2
NO.289,1
NO.29,2
NO.290,1
NO.291,1
NO.292,1
NO.293,1
NO.294,2
NO.295,2
NO.296,1
NO.297,1
NO.298,2
NO.299,1
NO.3,1
NO.30,1
NO.300,1
NO.301,0
NO.302,1
NO.303,1
NO.304,1
NO.305,1
NO.306,2
NO.307,0
NO.308,1
NO.309,1
NO.31,0
NO.310,2
NO.311,0
NO.312,1
NO.313,2
NO.314,2
NO.315,2
NO.316,0
NO.317,1
NO.318,2
NO.319,0
NO.32,1
NO.320,1
NO.321,1
NO.322,1
NO.323,2
NO.324,1
NO.325,2
NO.326,2
NO.327,2
NO.328,0
NO.329,1
NO.33,1
NO.330,1
NO.331,0
NO.332,1
NO.333,0
NO.334,1
NO.335,1
NO.336,1
NO.337,1
NO.338,0
NO.339,1
NO.34,1
NO.340,2
NO.341,0
NO.342,0
NO.343,2
NO.344,1
NO.345,0
NO.346,1
NO.347,2
NO.348,2
NO.349,0
NO.35,1
NO.350,2
NO.351,2
NO.352,1
NO.353,1
NO.354,1
NO.355,0
NO.356,1
NO.357,0
NO.358,1
NO.359,0
NO.36,2
NO.360,1
NO.361,1
NO.362,1
NO.363,2
NO.364,2
NO.365,1
NO.366,1
NO.367,1
NO.368,1
NO.369,1
NO.37,1
NO.370,1
NO.371,1
NO.372,1
NO.373,1
NO.374,1
NO.375,2
NO.376,2
NO.377,0
NO.378,1
NO.379,1
NO.38,1
NO.380,3
NO.381,1
NO.382,1
NO.383,1
NO.384,1
NO.385,1
NO.386,0
NO.387,1
NO.388,2
NO.389,1
NO.39,1
NO.390,1
NO.391,2
NO.392,1
NO.393,0
NO.394,2
NO.395,2
NO.396,2
NO.397,2
NO.398,2
NO.399,2
NO.4,1
NO.40,1
NO.400,0
NO.401,2
NO.402,2
NO.403,0
NO.404,2
NO.405,1
NO.406,2
NO.407,3
NO.408,1
NO.409,1
NO.41,1
NO.410,2
NO.411,1
NO.412,2
NO.413,1
NO.414,1
NO.415,0
NO.416,2
NO.417,1
NO.418,2
NO.419,1
NO.42,1
NO.420,3
NO.421,2
NO.422,1
NO.423,2
NO.424,3
NO.425,1
NO.426,2
NO.427,1
NO.428,1
NO.429,1
NO.43,1
NO.430,2
NO.431,2
NO.432,1
NO.433,2
NO.434,1
NO.435,1
NO.436,2
NO.437,2
NO.438,0
NO.439,1
NO.44,1
NO.440,2
NO.441,2
NO.442,1
NO.443,1
NO.444,3
NO.445,2
NO.446,2
NO.447,3
NO.448,0
NO.449,2
NO.45,1
NO.450,2
NO.451,3
NO.452,0
NO.453,1
NO.454,1
NO.455,2
NO.456,2
NO.457,1
NO.458,1
NO.459,2
NO.46,1
NO.460,1
NO.461,1
NO.462,1
NO.463,2
NO.464,2
NO.465,0
NO.466,0
NO.467,2
NO.468,3
NO.469,2
NO.47,1
NO.470,1
NO.471,1
NO.472,1
NO.473,3
NO.474,3
NO.475,1
NO.476,1
NO.477,2
NO.478,2
NO.479,2
NO.48,1
NO.480,1
NO.481,1
NO.482,1
NO.483,1
NO.484,2
NO.485,1
NO.486,2
NO.487,2
NO.488,3
NO.489,1
NO.49,1
NO.490,2
NO.491,1
NO.492,1
NO.493,2
NO.494,3
NO.495,1
NO.496,1
NO.497,3
NO.498,0
NO.499,1
NO.5,1
NO.50,1
NO.500,2
NO.501,3
NO.502,1
NO.503,1
NO.504,2
NO.505,1
NO.506,2
NO.507,2
NO.508,3
NO.509,2
NO.51,1
NO.510,0
NO.511,1
NO.512,2
NO.513,2
NO.514,1
NO.515,1
NO.516,1
NO.517,1
NO.518,1
NO.519,1
NO.52,1
NO.520,1
NO.521,1
NO.522,1
NO.523,0
NO.524,1
NO.525,1
NO.526,1
NO.527,0
NO.528,1
NO.529,1
NO.53,2
NO.530,1
NO.531,1
NO.532,0
NO.533,1
NO.534,1
NO.535,1
NO.536,1
NO.537,1
NO.538,0
NO.539,1
NO.54,1
NO.540,1
NO.541,0
NO.542,1
NO.543,1
NO.544,0
NO.545,2
NO.546,1
NO.547,1
NO.548,1
NO.549,1
NO.55,1
NO.550,1
NO.551,0
NO.552,1
NO.553,1
NO.554,1
NO.555,1
NO.556,0
NO.557,1
NO.558,1
NO.559,0
NO.56,2
NO.560,1
NO.561,1
NO.562,1
NO.563,0
NO.564,1
NO.565,1
NO.566,0
NO.567,1
NO.568,0
NO.569,1
NO.57,1
NO.570,1
NO.571,1
NO.572,1
NO.573,1
NO.574,1
NO.575,1
NO.576,2
NO.577,0
NO.578,0
NO.579,1
NO.58,0
NO.580,1
NO.581,1
NO.582,1
NO.583,1
NO.584,1
NO.585,2
NO.586,0
NO.587,1
NO.588,2
NO.589,2
NO.59,2
NO.590,1
NO.591,2
NO.592,1
NO.593,1
NO.594,1
NO.595,0
NO.596,0
NO.597,1
NO.598,0
NO.599,0
NO.6,1
NO.60,1
NO.600,0
NO.601,1
NO.602,1
NO.603,2
NO.604,1
NO.605,1
NO.606,1
NO.607,2
NO.608,1
NO.609,1
NO.61,1
NO.610,2
NO.611,1
NO.612,1
NO.613,1
NO.614,2
NO.615,2
NO.616,1
NO.617,0
NO.618,1
NO.619,1
NO.62,1
NO.620,1
NO.621,1
NO.622,1
NO.623,1
NO.624,1
NO.625,1
NO.626,1
NO.627,1
NO.628,2
NO.629,0
NO.63,1
NO.630,1
NO.631,1
NO.632,1
NO.633,1
NO.634,1
NO.635,1
NO.636,1
NO.637,2
NO.638,1
NO.639,1
NO.64,0
NO.640,1
NO.641,1
NO.642,1
NO.643,1
NO.644,0
NO.645,1
NO.646,1
NO.647,1
NO.648,1
NO.649,1
NO.65,2
NO.650,1
NO.651,1
NO.652,1
NO.653,0
NO.654,1
NO.655,1
NO.656,1
NO.657,1
NO.658,1
NO.659,0
NO.66,1
NO.660,1
NO.661,1
NO.662,1
NO.663,0
NO.664,1
NO.665,1
NO.666,1
NO.667,1
NO.668,1
NO.669,1
NO.67,2
NO.670,0
NO.671,1
