NO.1,0
NO.10,0
NO.100,0
NO.1000,1
NO.1001,0
NO.1002,1
NO.1003,1
NO.1004,1
NO.101,2
NO.102,1
NO.103,2
NO.104,3
NO.105,3
NO.106,3
NO.107,2
NO.108,3
NO.109,1
NO.11,0
NO.110,2
NO.111,2
NO.112,0
NO.113,1
NO.114,1
NO.115,1
NO.116,1
NO.117,0
NO.118,2
NO.119,1
NO.12,1
NO.120,1
NO.121,1
NO.122,3
NO.123,1
NO.124,1
NO.125,1
NO.126,1
NO.127,2
NO.128,1
NO.129,2
NO.13,2
NO.130,0
NO.131,1
NO.132,5
NO.133,2
NO.134,3
NO.135,6
NO.136,3
NO.137,1
NO.138,2
NO.139,1
NO.14,2
NO.140,1
NO.141,1
NO.142,1
NO.143,1
NO.144,1
NO.145,3
NO.146,1
NO.147,5
NO.148,2
NO.149,1
NO.15,2
NO.150,1
NO.151,1
NO.152,2
NO.153,1
NO.154,1
NO.155,2
NO.156,3
NO.157,1
NO.158,1
NO.159,1
NO.16,1
NO.160,0
NO.161,2
NO.162,3
NO.163,3
NO.164,1
NO.165,1
NO.166,3
NO.167,1
NO.168,1
NO.169,3
NO.17,1
NO.170,1
NO.171,3
NO.172,1
NO.173,1
NO.174,2
NO.175,0
NO.176,2
NO.177,1
NO.178,1
NO.179,1
NO.18,2
NO.180,2
NO.181,1
NO.182,1
NO.183,1
NO.184,1
NO.185,1
NO.186,1
NO.187,1
NO.188,2
NO.189,1
NO.19,1
NO.190,3
NO.191,1
NO.192,2
NO.193,1
NO.194,2
NO.195,2
NO.196,2
NO.197,1
NO.198,2
NO.199,1
NO.2,1
NO.20,1
NO.200,2
NO.201,1
NO.202,1
NO.203,1
NO.204,1
NO.205,2
NO.206,2
NO.207,3
NO.208,2
NO.209,1
NO.21,1
NO.210,5
NO.211,1
NO.212,1
NO.213,7
NO.214,2
NO.215,3
NO.216,5
NO.217,2
NO.218,1
NO.219,1
NO.22,1
NO.220,1
NO.221,1
NO.222,1
NO.223,1
NO.224,6
NO.225,1
NO.226,1
NO.227,1
NO.228,2
NO.229,2
NO.23,1
NO.230,5
NO.231,2
NO.232,1
NO.233,3
NO.234,6
NO.235,1
NO.236,6
NO.237,2
NO.238,1
NO.239,6
NO.24,8
NO.240,3
NO.241,1
NO.242,1
NO.243,5
NO.244,1
NO.245,3
NO.246,1
NO.247,5
NO.248,1
NO.249,1
NO.25,1
NO.250,7
NO.251,1
NO.252,5
NO.253,2
NO.254,2
NO.255,3
NO.256,1
NO.257,5
NO.258,2
NO.259,5
NO.26,2
NO.260,1
NO.261,2
NO.262,3
NO.263,1
NO.264,2
NO.265,1
NO.266,3
NO.267,2
NO.268,2
NO.269,1
NO.27,2
NO.270,1
NO.271,3
NO.272,1
NO.273,1
NO.274,2
NO.275,3
NO.276,1
NO.277,1
NO.278,1
NO.279,1
NO.28,1
NO.280,1
NO.281,2
NO.282,1
NO.283,1
NO.284,1
NO.285,1
NO.286,3
NO.287,1
NO.288,2
NO.289,3
NO.29,1
NO.290,1
NO.291,1
NO.292,1
NO.293,1
NO.294,2
NO.295,1
NO.296,2
NO.297,3
NO.298,9
NO.299,1
NO.3,7
NO.30,1
NO.300,1
NO.301,3
NO.302,1
NO.303,0
NO.304,1
NO.305,2
NO.306,2
NO.307,1
NO.308,1
NO.309,1
NO.31,1
NO.310,1
NO.311,3
NO.312,1
NO.313,1
NO.314,1
NO.315,1
NO.316,3
NO.317,1
NO.318,2
NO.319,1
NO.32,1
NO.320,1
NO.321,3
NO.322,1
NO.323,2
NO.324,1
NO.325,1
NO.326,2
NO.327,2
NO.328,3
NO.329,3
NO.33,1
NO.330,1
NO.331,5
NO.332,2
NO.333,3
NO.334,3
NO.335,2
NO.336,5
NO.337,0
NO.338,3
NO.339,1
NO.34,1
NO.340,7
NO.341,5
NO.342,5
NO.343,1
NO.344,1
NO.345,3
NO.346,1
NO.347,2
NO.348,1
NO.349,9
NO.35,8
NO.350,1
NO.351,8
NO.352,1
NO.353,1
NO.354,9
NO.355,1
NO.356,2
NO.357,5
NO.358,1
NO.359,3
NO.36,2
NO.360,1
NO.361,1
NO.362,1
NO.363,3
NO.364,1
NO.365,1
NO.366,2
NO.367,1
NO.368,1
NO.369,1
NO.37,9
NO.370,1
NO.371,1
NO.372,1
NO.373,1
NO.374,1
NO.375,5
NO.376,1
NO.377,3
NO.378,1
NO.379,1
NO.38,1
NO.380,1
NO.381,1
NO.382,1
NO.383,1
NO.384,1
NO.385,1
NO.386,11
NO.387,1
NO.388,3
NO.389,1
NO.39,9
NO.390,5
NO.391,1
NO.392,2
NO.393,1
NO.394,8
NO.395,1
NO.396,1
NO.397,1
NO.398,5
NO.399,2
NO.4,1
NO.40,1
NO.400,1
NO.401,1
NO.402,6
NO.403,1
NO.404,1
NO.405,9
NO.406,2
NO.407,5
NO.408,1
NO.409,1
NO.41,1
NO.410,1
NO.411,1
NO.412,1
NO.413,1
NO.414,1
NO.415,9
NO.416,1
NO.417,3
NO.418,1
NO.419,1
NO.42,1
NO.420,1
NO.421,3
NO.422,1
NO.423,3
NO.424,3
NO.425,9
NO.426,1
NO.427,1
NO.428,1
NO.429,1
NO.43,2
NO.430,2
NO.431,2
NO.432,1
NO.433,1
NO.434,1
NO.435,1
NO.436,2
NO.437,1
NO.438,1
NO.439,1
NO.44,1
NO.440,1
NO.441,1
NO.442,1
NO.443,2
NO.444,9
NO.445,2
NO.446,1
NO.447,1
NO.448,1
NO.449,3
NO.45,1
NO.450,2
NO.451,5
NO.452,3
NO.453,1
NO.454,1
NO.455,1
NO.456,2
NO.457,1
NO.458,1
NO.459,2
NO.46,1
NO.460,1
NO.461,1
NO.462,1
NO.463,1
NO.464,1
NO.465,3
NO.466,1
NO.467,2
NO.468,1
NO.469,2
NO.47,1
NO.470,1
NO.471,2
NO.472,1
NO.473,1
NO.474,1
NO.475,2
NO.476,1
NO.477,1
NO.478,3
NO.479,1
NO.48,3
NO.480,1
NO.481,2
NO.482,1
NO.483,1
NO.484,1
NO.485,3
NO.486,1
NO.487,2
NO.488,1
NO.489,2
NO.49,9
NO.490,1
NO.491,1
NO.492,6
NO.493,2
NO.494,1
NO.495,1
NO.496,9
NO.497,2
NO.498,1
NO.499,1
NO.5,5
NO.50,3
NO.500,2
NO.501,2
NO.502,1
NO.503,1
NO.504,2
NO.505,1
NO.506,2
NO.507,2
NO.508,1
NO.509,2
NO.51,1
NO.510,3
NO.511,1
NO.512,2
NO.513,2
NO.514,2
NO.515,9
NO.516,1
NO.517,1
NO.518,1
NO.519,1
NO.52,2
NO.520,1
NO.521,1
NO.522,1
NO.523,3
NO.524,1
NO.525,1
NO.526,1
NO.527,1
NO.528,1
NO.529,1
NO.53,1
NO.530,1
NO.531,1
NO.532,9
NO.533,1
NO.534,1
NO.535,1
NO.536,1
NO.537,1
NO.538,3
NO.539,1
NO.54,1
NO.540,2
NO.541,0
NO.542,1
NO.543,2
NO.544,3
NO.545,1
NO.546,1
NO.547,1
NO.548,2
NO.549,1
NO.55,1
NO.550,1
NO.551,3
NO.552,1
NO.553,1
NO.554,1
NO.555,1
NO.556,3
NO.557,1
NO.558,1
NO.559,3
NO.56,2
NO.560,1
NO.561,1
NO.562,1
NO.563,1
NO.564,1
NO.565,1
NO.566,9
NO.567,1
NO.568,3
NO.569,5
NO.57,1
NO.570,1
NO.571,1
NO.572,1
NO.573,5
NO.574,1
NO.575,1
NO.576,1
NO.577,3
NO.578,3
NO.579,2
NO.58,0
NO.580,1
NO.581,1
NO.582,1
NO.583,1
NO.584,1
NO.585,2
NO.586,3
NO.587,1
NO.588,1
NO.589,2
NO.59,1
NO.590,1
NO.591,1
NO.592,1
NO.593,1
NO.594,1
NO.595,1
NO.596,3
NO.597,1
NO.598,5
NO.599,5
NO.6,2
NO.60,2
NO.600,1
NO.601,1
NO.602,1
NO.603,2
NO.604,1
NO.605,1
NO.606,2
NO.607,2
NO.608,10
NO.609,1
NO.61,1
NO.610,2
NO.611,1
NO.612,9
NO.613,1
NO.614,2
NO.615,2
NO.616,1
NO.617,2
NO.618,1
NO.619,1
NO.62,1
NO.620,1
NO.621,1
NO.622,1
NO.623,1
NO.624,1
NO.625,1
NO.626,1
NO.627,1
NO.628,3
NO.629,1
NO.63,1
NO.630,1
NO.631,1
NO.632,1
NO.633,2
NO.634,3
NO.635,1
NO.636,2
NO.637,3
NO.638,1
NO.639,1
NO.64,1
NO.640,1
NO.641,3
NO.642,1
NO.643,1
NO.644,9
NO.645,1
NO.646,9
NO.647,2
NO.648,1
NO.649,3
NO.65,2
NO.650,2
NO.651,1
NO.652,1
NO.653,3
NO.654,1
NO.655,1
NO.656,3
NO.657,2
NO.658,1
NO.659,3
NO.66,9
NO.660,1
NO.661,1
NO.662,3
NO.663,1
NO.664,3
NO.665,1
NO.666,1
NO.667,3
NO.668,3
NO.669,1
NO.67,2
NO.670,3
NO.671,1
