name,cluster,LevelNum
NO.0,1,0.042324927,0.021470401,0.021456685,0.013993692,0.013070099,0.011791618,0.010943123,0.009084301,0.008546306,0.00847147,0.007999963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.1,1,0.028985802,0.008506788,0.04216961,0.00591675,0.0067481147,0.007389997,0.02585967,0.0,0.014020437,0.0075160093,0.018973825,0.016345482,0.012680827,0.010124814,0.009061023,0.0077553806,0.007300261,0.007282679,0.006031207,0.0,0.0
NO.10,0,0.03377846,0.0,0.043038175,0.0,0.0,0.0,0.06578504,0.0,0.028206786,0.0,0.01605111,0.01367393,0.013211187,0.036261935,0.008647702,0.0,0.008736199,0.0,0.008331059,0.0068689384,0.0064784135
NO.100,0,0.02920583,0.0088524,0.041742623,0.006468756,0.0,0.0,0.037716657,0.0,0.02069566,0.0067913504,0.01881718,0.012267577,0.016319482,0.020924265,0.012380685,0.00541638,0.0076339445,0.0,0.00634806,0.0068682325,0.0057976516
NO.101,1,0.024639284,0.015106985,0.06261525,0.008696766,0.0073918505,0.00854441,0.021652428,0.010401336,0.0077815177,0.010405758,0.016714742,0.016179316,0.012612703,0.008948524,0.012896157,0.0,0.0,0.0,0.0,0.0,0.0070951935
NO.102,1,0.060731076,0.0134585025,0.07894002,0.0,0.008787833,0.008292972,0.025068669,0.014469905,0.015608428,0.010675599,0.01749045,0.011083156,0.01110954,0.014715476,0.008775082,0.0,0.0,0.007019102,0.0,0.0071223057,0.007771672
NO.103,0,0.032126646,0.008770437,0.062151685,0.0,0.0,0.0,0.05838986,0.0,0.023068413,0.0,0.021770177,0.015102561,0.017887058,0.025037386,0.015667439,0.007494399,0.009741326,0.006925315,0.0053345608,0.008709146,0.007237294
NO.104,0,0.04684528,0.007327726,0.04334809,0.0,0.0,0.0069510117,0.047875028,0.0,0.025885932,0.0,0.023394166,0.008862522,0.016693017,0.043471895,0.011045411,0.0055535194,0.007723534,0.0068906103,0.0,0.008164891,0.008051447
NO.105,0,0.027056247,0.011969234,0.058354754,0.006707306,0.0,0.005481761,0.047695443,0.0,0.017687686,0.0,0.014086952,0.0139103355,0.013264828,0.017327983,0.016233902,0.0057334434,0.008226425,0.0,0.0,0.010187657,0.0
NO.106,1,0.03794019,0.013431806,0.08285654,0.0,0.00809096,0.0065418915,0.03483811,0.0090967985,0.015269757,0.008079152,0.024619838,0.013344137,0.018592201,0.0193902,0.0133777885,0.0069451286,0.00844848,0.0,0.0,0.0,0.006946182
NO.107,1,0.043325935,0.010626026,0.051805224,0.0,0.021572793,0.010338651,0.02364636,0.0,0.014792358,0.0083409855,0.023639621,0.008378692,0.016070718,0.013602786,0.0,0.0,0.0,0.0,0.0,0.0,0.007934663
NO.108,2,0.056356892,0.015690003,0.033863883,0.0,0.025485465,0.013289507,0.014835534,0.0100302715,0.0,0.014571326,0.016678888,0.009055246,0.015295231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009006533
NO.109,1,0.035914935,0.016454287,0.059836935,0.010005688,0.0076881126,0.0067410297,0.030597994,0.008444567,0.010846183,0.008278978,0.018877944,0.016718857,0.017076986,0.012228622,0.015473861,0.0,0.0,0.0,0.0,0.007095571,0.007642335
NO.11,1,0.02633124,0.006909293,0.058077667,0.0,0.017262608,0.0,0.027461892,0.0,0.021088183,0.008507106,0.020062387,0.015667327,0.015970439,0.010495566,0.0068798875,0.0,0.006660274,0.0074148444,0.0,0.0,0.008136328
NO.110,1,0.032071922,0.011685494,0.05780537,0.007846585,0.0,0.0,0.02955042,0.00810528,0.01468795,0.012089813,0.019456305,0.013014956,0.016657079,0.020834964,0.013042764,0.008113319,0.008652472,0.007294585,0.0,0.0068865614,0.008446155
