time,cluster,data
NO.0,4,6.0,-65.0,-65.0,-6.0,39.0,-26.0,0.0,3.0,51.0,-10.0,-5.0,3.0,-10.0,-5.0,-3.0,10.0,5.0,0.0,9.0,11.0,0.0,8.0,3.0,0.0,-9.0,-6.0,0.0,-6.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.1,3,0.0,-18.0,-9.0,0.0,9.0,-18.0,0.0,-9.0,9.0,-28.0,-9.0,19.0,-29.0,-38.0,-47.0,-10.0,0.0,10.0,0.0,0.0,9.0,-1.0,-1.0,0.0,38.0,38.0,9.0,0.0,-9.0,-18.0,-9.0,0.0,0.0,0.0,0.0,0.0
NO.2,3,12.0,-6.0,-9.0,18.0,7.0,-29.0,-9.0,19.0,55.0,-17.0,-13.0,1.0,5.0,2.0,-7.0,-1.0,-2.0,-3.0,-2.0,10.0,8.0,10.0,11.0,14.0,20.0,18.0,9.0,-1.0,-1.0,19.0,-21.0,-12.0,-5.0,0.0,-7.0,-7.0
NO.3,3,20.0,68.0,29.0,85.0,38.0,57.0,9.0,27.0,19.0,-57.0,-48.0,-29.0,-9.0,-9.0,-9.0,-9.0,0.0,9.0,8.0,18.0,19.0,20.0,10.0,0.0,20.0,19.0,19.0,9.0,9.0,9.0,-18.0,-18.0,-9.0,9.0,9.0,0.0
NO.4,3,2.0,28.0,29.0,14.0,3.0,12.0,4.0,3.0,0.0,-45.0,-27.0,-5.0,-12.0,-7.0,-5.0,16.0,12.0,8.0,1.0,19.0,17.0,28.0,9.0,3.0,0.0,1.0,0.0,-10.0,-1.0,5.0,-1.0,-6.0,0.0,0.0,-1.0,-6.0
NO.5,3,-1.0,-2.0,7.0,2.0,3.0,-1.0,0.0,1.0,5.0,-7.0,-3.0,3.0,-8.0,-5.0,-3.0,11.0,6.0,1.0,-7.0,1.0,5.0,-2.0,-4.0,1.0,0.0,-2.0,1.0,-3.0,-2.0,3.0,-3.0,-3.0,0.0,1.0,1.0,-2.0
NO.6,3,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,40.0,8.0,-12.0,-36.0,-12.0,-4.0,4.0,8.0,-13.0,4.0,0.0,21.0,21.0,0.0,17.0,17.0,12.0,8.0,12.0,-32.0,-8.0,0.0,4.0,-12.0,-4.0
NO.7,3,-40.0,-19.0,7.0,74.0,43.0,1.0,5.0,7.0,40.0,-37.0,-23.0,1.0,7.0,12.0,-2.0,-9.0,-5.0,-1.0,41.0,28.0,9.0,11.0,9.0,11.0,-22.0,-13.0,-5.0,-14.0,-7.0,-2.0,2.0,-2.0,0.0,0.0,2.0,-2.0
NO.8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,4.0,4.0,-4.0,-4.0,-2.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,-6.0,-4.0,-2.0,0.0,-2.0,0.0,0.0,0.0,-2.0
NO.9,3,2.0,15.0,-13.0,20.0,23.0,45.0,3.0,-3.0,-3.0,-29.0,-4.0,41.0,3.0,-6.0,-28.0,0.0,3.0,3.0,-10.0,-3.0,19.0,39.0,35.0,22.0,-9.0,-3.0,-3.0,13.0,9.0,-7.0,5.0,3.0,0.0,0.0,9.0,3.0
NO.10,3,-10.0,4.0,-14.0,20.0,22.0,37.0,3.0,-6.0,-3.0,-3.0,-3.0,1.0,-4.0,8.0,8.0,39.0,19.0,4.0,-16.0,-1.0,6.0,-4.0,10.0,23.0,23.0,23.0,13.0,6.0,6.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.11,3,-8.0,-5.0,-5.0,8.0,7.0,6.0,2.0,-4.0,-4.0,-13.0,-11.0,0.0,0.0,-1.0,-7.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,-2.0,-11.0,-3.0,6.0,-4.0,-5.0,0.0,0.0,-2.0,-5.0
NO.12,3,-4.0,12.0,-8.0,8.0,4.0,24.0,4.0,0.0,8.0,-40.0,-8.0,36.0,-8.0,-28.0,-52.0,-4.0,0.0,4.0,4.0,-4.0,4.0,12.0,16.0,12.0,0.0,12.0,12.0,0.0,-8.0,-4.0,0.0,8.0,0.0,0.0,4.0,8.0
NO.13,3,4.0,0.0,-8.0,16.0,20.0,20.0,-4.0,0.0,12.0,8.0,-4.0,-12.0,0.0,4.0,8.0,12.0,8.0,4.0,-8.0,-4.0,8.0,-4.0,4.0,4.0,4.0,12.0,16.0,-4.0,0.0,0.0,-4.0,-4.0,0.0,0.0,-4.0,-4.0
NO.14,3,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,8.0,4.0,4.0,8.0,4.0,-2.0,-8.0,-4.0,0.0,16.0,24.0,6.0,3.0,-7.0,1.0,28.0,27.0,13.0,-4.0,0.0,-2.0,0.0,-2.0,0.0,0.0,0.0,-2.0
NO.15,3,7.0,14.0,14.0,14.0,7.0,3.0,0.0,0.0,8.0,-7.0,-2.0,9.0,4.0,-4.0,-15.0,-16.0,-8.0,0.0,10.0,8.0,4.0,0.0,-1.0,-1.0,4.0,7.0,11.0,-7.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.16,3,18.0,27.0,9.0,-18.0,-27.0,-19.0,19.0,38.0,49.0,-65.0,-28.0,37.0,0.0,-9.0,-37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-19.0,-10.0,9.0,0.0,0.0,0.0,9.0
NO.17,3,10.0,48.0,57.0,-10.0,-29.0,10.0,0.0,10.0,-19.0,0.0,-10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,-10.0,0.0,0.0,-10.0,0.0,0.0,0.0,-10.0,0.0
NO.18,3,8.0,8.0,24.0,0.0,0.0,4.0,0.0,0.0,0.0,-20.0,-24.0,4.0,0.0,-4.0,-20.0,0.0,0.0,0.0,44.0,48.0,20.0,12.0,-4.0,0.0,8.0,12.0,4.0,-28.0,0.0,16.0,-32.0,-32.0,-4.0,12.0,0.0,-16.0
