NO.226,4.377464,4.1002874,3.9845834,3.6856635,3.3843205,3.3288605,3.1585608,2.9937105,2.7089982,2.6831868,2.5823517,2.493953,2.4663205,2.421084,2.3961625,2.3604565,0,0,0,0,0
NO.850,4.0868506,3.4843588,4.4213195,4.6594253,3.6178725,3.5356457,3.5041213,3.0129614,0,0,0,0,3.0020595,0,0,0,3.4128215,2.785575,0,0,0
NO.792,4.7785306,4.488968,4.064824,3.975248,3.829028,3.2744503,3.2708883,3.13092,2.8011045,2.893839,2.731762,2.5852935,2.4239411,2.5937135,2.684521,2.502089,0,2.62299,2.329515,0,0
NO.840,4.4958587,3.9131074,4.1726995,4.088124,3.4735785,2.9103348,3.2399378,3.3216715,2.9462788,2.531135,2.4883735,2.4379134,2.7760096,2.8351724,0,0,2.433296,2.4846878,2.3963823,0,0
NO.695,4.5007024,3.9604764,4.305795,3.9547246,3.7691188,3.3778808,3.338717,3.2943697,2.823018,2.799012,2.880002,0,2.5737114,0,0,2.3840444,2.397454,2.5451124,2.4238722,2.4370334,0
NO.178,4.5740666,3.9608412,4.5420027,4.088578,3.6750896,3.3170688,3.5600162,3.3781896,2.8120534,2.70401,2.7062597,0,2.5442863,2.6071203,0,2.440926,2.424104,2.4979548,2.5637577,2.4323695,2.5919662
NO.836,4.5094395,3.8311677,4.3725853,4.1337705,3.5095806,3.1210852,3.3289456,3.2737813,2.9426975,2.4715788,2.5618522,2.6016457,2.715561,2.613497,2.3737109,0,2.4192195,2.4274044,2.423119,0,0
NO.220,4.6258206,3.9452887,4.193315,3.9837658,3.689009,3.48188,3.3225207,3.0239215,2.6006744,2.7256458,2.6179657,2.4670439,0,2.3745143,2.4101074,2.498249,0,2.6588855,0,0,0
NO.359,4.4339004,3.668172,4.2541986,4.118148,3.531264,3.3159356,3.419601,3.5034971,2.6840875,2.5355163,2.4585001,2.4261067,2.5789242,2.3637164,0,0,2.3686416,2.5183895,0,0,2.347978
NO.350,3.4854608,0,4.8982797,4.3422065,3.0062842,3.526616,3.5873985,3.9917865,0,0,0,0,3.2325287,0,0,0,2.9835353,0,0,3.0141788,2.939195
NO.360,4.3580236,3.3608232,4.1871576,6.035444,3.7029464,2.8013918,3.4652324,3.9455576,0,0,0,0,3.0758219,0,0,0,3.6054385,3.3911448,0,0,0
NO.463,4.732347,4.4421105,3.97017,3.8851023,3.803414,3.1873038,3.2588072,2.9507165,2.728038,2.9368224,2.6836061,2.6507704,0,2.5424669,2.72821,2.4880953,0,2.5972648,0,0,0
NO.169,4.498084,4.5436745,4.100689,3.972377,3.686414,3.0846894,3.2699995,3.256362,2.7974255,2.552372,2.6694028,2.4890816,2.6015062,2.894248,2.3302634,0,0,2.4731932,0,0,2.3151162
NO.509,5.0200596,4.6454415,4.1719484,4.188752,4.0178547,3.244465,3.3035045,3.225059,2.7954948,3.0553653,2.90643,2.7173183,0,2.59544,2.9990518,2.678032,0,2.6944847,2.5198038,0,0
