NO.226,4.9497476,4.143602,3.7753139,3.7507713,3.4865727,3.361624,3.025284,2.9440103,2.879427,2.71784,2.7024727,2.6766193,0,0,0,0,0,0,0,0,0
NO.850,6.5109253,3.2245839,3.4848201,3.9486988,4.367008,3.439901,0,4.353107,0,3.0712943,0,0,4.657244,4.396304,3.5560474,3.5066893,0,0,0,0,0
NO.792,4.5671663,3.1371803,3.6834795,4.1300187,3.9969988,3.1911366,3.4567847,0,3.79557,4.3158712,3.465108,3.455913,3.7177,0,3.789001,0,4.1351166,3.556172,3.434538,3.0913439,0
NO.840,6.301942,0,3.5044065,4.0831017,4.5733037,2.9551315,3.1750236,4.721226,0,3.4809356,0,0,4.9836555,4.092263,4.176251,3.8013318,0,0,0,0,3.7878182
NO.695,5.064351,4.141079,4.581547,3.8002515,4.6045403,4.0272202,3.436928,3.276976,3.7423692,4.3716917,3.7924044,0,3.7856228,0,3.2938251,0,4.380583,3.3063242,0,0,0
NO.178,5.7327843,0,3.8959572,3.5794218,4.6215234,3.5921733,0,3.9842062,0,4.029327,0,0,4.5421624,4.42726,4.3959117,4.156297,3.01986,0,3.456503,0,3.2115972
NO.836,5.882565,3.5625515,4.4702544,4.357152,4.5460663,3.7497752,3.631182,4.0728765,3.4600463,4.2634106,0,0,4.602482,3.46605,3.7025871,3.4584875,3.3687153,0,3.1826558,0,3.2711337
NO.220,4.640192,3.8380034,3.9917006,3.0639637,3.648061,3.37834,3.0252311,2.7203627,2.6901417,3.9674327,2.9046273,0,3.2294366,0,2.7479813,0,4.519544,0,0,0,0
NO.359,5.055576,3.6616752,4.465108,3.3960726,4.3835807,3.0074742,4.195358,3.028926,3.8113074,3.0818162,0,0,3.2804995,0,0,0,3.4168181,2.930151,0,0,0
NO.350,5.6910257,0,0,5.266978,4.3900504,0,0,3.8161702,0,0,0,0,3.2674413,0,0,3.4863546,0,0,3.3114073,0,0
NO.360,5.107989,4.2130303,4.640175,4.2348967,4.03316,3.5477927,3.6386807,3.6847258,3.3574224,3.4118776,3.0601296,0,3.3098588,0,0,0,3.1218894,0,0,0,0
NO.463,4.874137,5.6933026,5.9366946,3.990747,4.587762,4.847969,4.2823296,0,4.8911676,5.1887484,4.406335,0,0,0,0,0,5.4912224,0,0,0,0
NO.169,6.0194945,0,3.5749948,4.718021,4.4620914,3.3283155,0,3.9071078,0,4.0772176,0,3.1311932,4.5670404,3.6697998,4.32015,3.737855,3.3113096,3.4293199,3.4383106,0,3.5613198
NO.509,0,0,0,3.2487795,0,0,0,0,3.4149146,0,0,4.045171,0,0,0,0,0,3.6761122,4.767806,5.7625313,3.5129428
NO.829,3.8897896,3.2739463,3.32188,2.8065686,3.4990866,2.9890137,0,0,0,3.2871044,0,0,2.6574981,0,0,0,3.7184238,0,0,0,0
NO.969,3.6153333,0,0,0,4.327505,0,3.573935,0,5.0725183,0,4.3884516,3.9581769,0,0,0,0,3.4767184,4.773098,5.240123,6.066092,0
NO.983,5.454019,3.883319,3.9590774,3.9412155,4.472193,3.8425543,4.137152,3.4548912,3.779152,4.0754743,0,0,4.617201,3.5235438,4.2004323,0,3.5151258,0,3.865304,0,4.166924
NO.685,0,0,3.1926978,4.0190544,4.5832973,0,0,0,4.3325768,3.3732355,5.503592,0,0,0,0,4.3258076,0,3.656084,5.7954216,4.3746963,0
NO.111,5.4478464,0,4.510739,3.8600016,4.6222997,4.2750807,3.6520603,3.5480094,3.9920692,4.3786755,3.6317089,0,4.66719,0,4.7364454,0,3.9531705,3.7231789,4.256749,0,4.185253
NO.772,5.029703,0,3.5063477,3.5031333,4.694002,3.6242845,0,0,4.277287,3.932906,3.477711,0,4.056898,3.5269089,0,3.8892796,3.2559903,3.8264253,4.188067,3.3473551,3.8751688
NO.1006,3.3251379,3.271772,3.198128,2.6724524,3.3522148,3.0223804,0,0,3.2043128,4.1124773,3.36231,3.0559847,0,0,0,0,4.4565196,3.0297852,0,2.7711973,0
NO.200,3.1810186,3.8503351,4.0706725,0,3.0373778,3.636458,0,0,3.3876834,4.825272,3.9029934,3.4007728,0,0,0,0,4.2594686,0,0,3.1043737,0
NO.771,5.1037545,0,0,0,4.824994,0,4.0193768,0,4.801006,0,4.6827292,0,0,0,0,0,0,4.780801,0,4.8063064,0
NO.891,5.182618,0,3.601514,3.62124,4.62787,3.6223476,0,3.924852,0,4.046078,0,0,4.3951764,4.4936175,4.5149846,4.3596663,0,0,3.3939767,0,0
NO.873,3.7446082,0,0,3.6023712,3.4571624,0,0,0,3.4757576,3.2906437,2.9469898,3.9813583,0,0,3.248061,0,3.144008,3.7404811,4.402785,4.2097154,0
NO.66,6.1538877,0,2.9211142,3.3855522,4.300005,0,0,3.2015328,0,0,0,2.7885358,3.6474874,0,0,2.7580743,0,0,0,0,0
NO.405,4.575807,0,0,4.354863,4.5408716,0,0,3.5349274,3.9157567,4.0337167,0,3.1669726,3.7559004,0,3.963424,3.996173,0,3.6837614,4.733015,3.640597,3.150166
NO.628,5.1075554,3.898954,4.694596,4.6914606,5.2247357,4.16433,0,4.4253693,3.5217004,3.882128,5.269749,0,3.923187,0,0,3.5449486,0,0,3.5741441,0,0
NO.446,0,0,0,3.6760108,4.0454526,0,0,0,5.139035,3.785898,4.3663993,4.4275312,0,0,0,0,0,4.6060467,5.023253,6.4224367,0
NO.380,3.7324991,0,0,4.651973,3.7649767,0,0,0,3.557351,0,3.1014616,4.40446,0,0,3.1993294,0,0,4.3286085,5.3862686,4.7287893,0
NO.147,5.429897,3.6375499,4.401655,3.757201,4.5479198,4.098695,0,4.0121136,3.7048764,4.3247414,0,0,4.144081,3.7484834,3.943191,3.453277,4.3249874,0,3.374976,0,3.4353378
NO.981,4.1567926,0,0,3.156437,4.488075,3.440011,0,0,3.537251,3.9589522,0,0,3.8791075,4.6722326,3.6208181,4.4112244,0,0,4.1452575,0,3.8326242
