name,cluster,LevelNum
NO.82,0,-3.0,3.0,-21.0,21.0,-1.0,1.0
NO.83,0,2.0,-2.0,-2.0,2.0,-4.0,4.0
NO.84,3,-27.0,27.0,-5.0,5.0,1.0,-1.0
NO.85,0,-4.0,4.0,-8.0,8.0,-2.0,2.0
NO.86,0,-11.0,11.0,-5.0,5.0,-1.0,1.0
NO.87,0,-15.0,15.0,-3.0,3.0,-1.0,1.0
NO.88,0,-5.0,5.0,-3.0,3.0,-1.0,1.0
NO.89,0,4.0,-4.0,-4.0,4.0,0.0,0.0
NO.90,0,16.0,-16.0,-10.0,10.0,0.0,0.0
NO.91,3,-47.0,47.0,-23.0,23.0,-5.0,5.0
NO.92,3,-97.0,97.0,-13.0,13.0,-1.0,1.0
NO.93,3,-86.0,86.0,2.0,-2.0,0.0,0.0
NO.94,0,-6.0,6.0,-4.0,4.0,-2.0,2.0
NO.95,0,-12.0,12.0,-16.0,16.0,0.0,0.0
NO.96,3,-119.0,119.0,-9.0,9.0,-7.0,7.0
NO.97,0,-4.0,4.0,4.0,-4.0,2.0,-2.0
NO.98,3,-64.0,64.0,-4.0,4.0,0.0,0.0
NO.99,0,18.0,-18.0,-14.0,14.0,-2.0,2.0
NO.100,0,2.0,-2.0,-6.0,6.0,0.0,0.0
NO.101,3,-99.0,99.0,15.0,-15.0,5.0,-5.0
NO.102,0,-13.0,13.0,-15.0,15.0,-9.0,9.0
NO.103,0,44.0,-44.0,-18.0,18.0,0.0,0.0
NO.104,0,60.0,-60.0,-18.0,18.0,0.0,0.0
NO.105,0,23.0,-23.0,-1.0,1.0,-1.0,1.0
NO.106,3,-41.0,41.0,-11.0,11.0,-1.0,1.0
NO.107,3,-189.0,189.0,7.0,-7.0,-5.0,5.0
NO.108,3,-134.0,134.0,-6.0,6.0,-2.0,2.0
NO.109,3,-22.0,22.0,-16.0,16.0,-4.0,4.0
NO.110,3,-26.0,26.0,-14.0,14.0,0.0,0.0
NO.111,3,-85.0,85.0,7.0,-7.0,-3.0,3.0
NO.112,3,-64.0,64.0,12.0,-12.0,0.0,0.0
NO.113,0,63.0,-63.0,-13.0,13.0,-1.0,1.0
NO.114,3,-66.0,66.0,6.0,-6.0,-4.0,4.0
NO.115,3,-40.0,40.0,10.0,-10.0,2.0,-2.0
NO.116,0,-7.0,7.0,-1.0,1.0,1.0,-1.0
NO.117,3,-66.0,66.0,0.0,0.0,2.0,-2.0
NO.118,0,-10.0,10.0,6.0,-6.0,2.0,-2.0
NO.119,3,-22.0,22.0,0.0,0.0,-2.0,2.0
NO.120,3,-52.0,52.0,8.0,-8.0,-4.0,4.0
NO.121,0,-9.0,9.0,-1.0,1.0,-3.0,3.0
NO.122,0,33.0,-33.0,-9.0,9.0,1.0,-1.0
NO.123,0,16.0,-16.0,6.0,-6.0,0.0,0.0
NO.124,0,-15.0,15.0,-3.0,3.0,-3.0,3.0
NO.125,0,-10.0,10.0,-4.0,4.0,0.0,0.0
NO.126,0,41.0,-41.0,-15.0,15.0,-1.0,1.0
NO.127,0,0.0,0.0,-4.0,4.0,2.0,-2.0
NO.128,3,-55.0,55.0,-9.0,9.0,-3.0,3.0
NO.129,0,11.0,-11.0,-21.0,21.0,-1.0,1.0
NO.130,0,89.0,-89.0,-19.0,19.0,1.0,-1.0
NO.131,0,-13.0,13.0,-17.0,17.0,-3.0,3.0
NO.132,3,-24.0,24.0,-2.0,2.0,0.0,0.0
NO.133,0,-2.0,2.0,12.0,-12.0,0.0,0.0
NO.134,3,-24.0,24.0,4.0,-4.0,0.0,0.0
NO.135,0,5.0,-5.0,-1.0,1.0,-1.0,1.0
NO.136,0,19.0,-19.0,1.0,-1.0,-1.0,1.0
NO.137,0,117.0,-117.0,-21.0,21.0,-1.0,1.0
NO.138,0,36.0,-36.0,-28.0,28.0,-4.0,4.0
NO.139,0,11.0,-11.0,-5.0,5.0,1.0,-1.0
NO.140,3,-41.0,41.0,-3.0,3.0,-1.0,1.0
NO.141,0,4.0,-4.0,-6.0,6.0,-2.0,2.0
NO.142,0,-10.0,10.0,-2.0,2.0,0.0,0.0
NO.143,0,3.0,-3.0,-7.0,7.0,-1.0,1.0
NO.144,0,2.0,-2.0,2.0,-2.0,0.0,0.0
NO.145,0,-5.0,5.0,-5.0,5.0,-5.0,5.0
NO.146,0,27.0,-27.0,-3.0,3.0,-1.0,1.0
NO.147,0,64.0,-64.0,-12.0,12.0,0.0,0.0
NO.148,3,-18.0,18.0,12.0,-12.0,0.0,0.0
NO.149,3,-68.0,68.0,2.0,-2.0,-2.0,2.0
NO.150,0,7.0,-7.0,-3.0,3.0,-1.0,1.0
NO.151,3,-36.0,36.0,16.0,-16.0,0.0,0.0
NO.152,0,25.0,-25.0,-5.0,5.0,-1.0,1.0
NO.153,0,29.0,-29.0,-5.0,5.0,-1.0,1.0
