name,cluster,LevelNum
NO.0,4,-66.0,-42.0,0.0,0.0
NO.1,1,-87.0,-85.0,27.0,25.0
NO.2,1,-150.0,-63.0,150.0,126.0
NO.3,1,-113.0,-116.0,53.0,20.0
NO.4,1,-39.0,-110.0,6.0,-1.0
NO.5,4,0.0,27.0,0.0,-27.0
NO.6,1,-87.0,-145.0,175.0,88.0
NO.7,1,-4.0,-49.0,124.0,84.0
NO.8,1,-421.0,-284.0,310.0,299.0
NO.9,1,-290.0,-129.0,359.0,0.0
NO.10,4,0.0,-18.0,-8.0,20.0
NO.11,1,-239.0,-173.0,56.0,7.0
NO.12,1,-87.0,-271.0,101.0,84.0
NO.13,1,-209.0,-235.0,257.0,0.0
NO.14,1,-42.0,-98.0,0.0,-28.0
NO.15,4,-34.0,-8.0,35.0,37.0
NO.16,1,-100.0,-56.0,168.0,80.0
NO.17,4,-12.0,-20.0,4.0,8.0
NO.18,1,-168.0,-240.0,14.0,132.0
NO.19,1,-69.0,-108.0,0.0,14.0
NO.20,4,-64.0,-28.0,20.0,4.0
NO.21,4,70.0,0.0,84.0,112.0
NO.22,4,40.0,0.0,-30.0,-20.0
NO.23,1,-63.0,-119.0,0.0,140.0
NO.24,1,-28.0,-60.0,213.0,84.0
NO.25,4,0.0,-57.0,-42.0,14.0
NO.26,1,-83.0,-155.0,36.0,36.0
NO.27,4,-28.0,28.0,56.0,-28.0
NO.28,1,-42.0,-70.0,43.0,141.0
NO.29,1,-28.0,-69.0,132.0,33.0
NO.30,4,0.0,70.0,-42.0,-14.0
NO.31,1,-13.0,-82.0,93.0,56.0
NO.32,1,-7.0,-197.0,55.0,162.0
NO.33,1,28.0,-58.0,115.0,45.0
NO.34,1,-243.0,-167.0,168.0,94.0
NO.35,1,-28.0,-149.0,9.0,30.0
NO.36,1,12.0,15.0,146.0,4.0
NO.37,1,-230.0,-135.0,143.0,11.0
NO.38,1,-111.0,-36.0,82.0,37.0
NO.39,1,-281.0,-93.0,85.0,9.0
NO.40,1,-108.0,-197.0,123.0,63.0
NO.41,1,42.0,0.0,197.0,15.0
NO.42,4,0.0,-42.0,35.0,0.0
NO.43,1,-126.0,-75.0,29.0,9.0
NO.44,1,-197.0,-95.0,197.0,75.0
NO.45,1,-5.0,-43.0,71.0,11.0
NO.46,4,135.0,0.0,30.0,-27.0
NO.47,4,-3.0,-24.0,30.0,-3.0
NO.48,4,-70.0,0.0,0.0,0.0
NO.49,1,-9.0,-46.0,27.0,120.0
NO.50,1,-9.0,-83.0,19.0,47.0
NO.51,1,-57.0,-131.0,2.0,27.0
NO.52,1,-14.0,-56.0,56.0,59.0
NO.53,1,-85.0,56.0,315.0,0.0
NO.54,4,-28.0,-21.0,14.0,63.0
NO.55,1,-224.0,-9.0,167.0,7.0
NO.56,1,-69.0,-19.0,117.0,83.0
NO.57,4,-107.0,9.0,-45.0,-83.0
NO.58,1,-136.0,-148.0,16.0,12.0
NO.59,4,-84.0,-47.0,9.0,-56.0
NO.60,4,0.0,0.0,0.0,0.0
NO.61,4,-55.0,-29.0,0.0,-38.0
NO.62,1,-182.0,112.0,196.0,0.0
NO.63,1,0.0,30.0,190.0,52.0
NO.64,0,19.0,-46.0,-96.0,37.0
NO.65,0,-69.0,-196.0,-91.0,-9.0
NO.66,0,41.0,-73.0,-140.0,-98.0
NO.67,1,-93.0,-122.0,27.0,0.0
NO.68,4,-91.0,0.0,21.0,14.0
NO.69,0,-22.0,-77.0,-42.0,21.0
NO.70,1,-72.0,-95.0,160.0,77.0
NO.71,4,20.0,60.0,46.0,19.0
NO.72,4,28.0,112.0,42.0,-56.0
NO.73,4,-14.0,-42.0,0.0,15.0
NO.74,4,47.0,57.0,-57.0,-58.0
NO.75,4,45.0,87.0,75.0,-13.0
NO.76,4,14.0,70.0,-70.0,-13.0
NO.77,1,51.0,-152.0,29.0,144.0
NO.78,1,-21.0,-45.0,72.0,59.0
NO.79,1,-103.0,2.0,83.0,-20.0
NO.80,1,-45.0,-113.0,155.0,123.0
NO.81,1,-112.0,-98.0,63.0,0.0
NO.82,4,77.0,-35.0,-14.0,-28.0
NO.83,1,-42.0,-63.0,70.0,14.0
NO.84,1,-56.0,-112.0,15.0,29.0
NO.85,1,-64.0,-51.0,80.0,18.0
NO.86,1,-81.0,-45.0,165.0,28.0
NO.87,1,-64.0,-54.0,13.0,12.0
NO.88,1,-81.0,-91.0,118.0,73.0
NO.89,4,0.0,0.0,15.0,15.0
NO.90,1,-9.0,-27.0,45.0,84.0
NO.91,1,-116.0,-187.0,75.0,145.0
