name,cluster,LevelNum
NO.0,1,-4333.0,-4604.0,-4581.0,-4590.0
NO.1,1,-2804.0,-3172.0,-3008.0,-3156.0
NO.2,1,-2833.0,-2876.0,-2280.0,-2533.0
NO.3,1,-3001.0,-3039.0,-2931.0,-3107.0
NO.4,1,-4528.0,-4345.0,-4555.0,-4542.0
NO.5,1,-4590.0,-4554.0,-4590.0,-4581.0
NO.6,1,-3689.0,-3834.0,-3225.0,-3051.0
NO.7,1,-3047.0,-3167.0,-2807.0,-2843.0
NO.8,1,-2845.0,-3072.0,-2085.0,-2352.0
NO.9,2,-2725.0,-2350.0,-1939.0,-2295.0
NO.10,0,0.0,-68.0,-14.0,-74.0
NO.11,2,-1385.0,-1595.0,-1469.0,-1630.0
NO.12,2,-1364.0,-1721.0,-1389.0,-2099.0
NO.13,2,-1651.0,-2100.0,-1703.0,-2295.0
NO.14,2,-2225.0,-2421.0,-2295.0,-2295.0
NO.15,0,-74.0,-8.0,-37.0,-51.0
NO.16,0,-748.0,-812.0,-320.0,-552.0
NO.17,0,-156.0,-100.0,-76.0,-56.0
NO.18,0,-644.0,-1022.0,-856.0,-1184.0
NO.19,2,-2180.0,-2420.0,-2311.0,-2313.0
NO.20,2,-2383.0,-2319.0,-2291.0,-2291.0
NO.21,1,-2939.0,-3051.0,-2323.0,-2295.0
NO.22,0,-951.0,-786.0,-796.0,-796.0
NO.23,2,-2246.0,-2281.0,-2309.0,-2022.0
NO.24,2,-2300.0,-2229.0,-1500.0,-1653.0
NO.25,2,-2337.0,-2579.0,-2337.0,-2309.0
NO.26,1,-2942.0,-3077.0,-2839.0,-3089.0
NO.27,0,-1078.0,-714.0,-952.0,-700.0
NO.28,1,-2589.0,-3039.0,-2452.0,-2378.0
NO.29,2,-2353.0,-2449.0,-2086.0,-2199.0
NO.30,2,-1623.0,-2211.0,-1567.0,-1609.0
NO.31,2,-2343.0,-2636.0,-2069.0,-2266.0
NO.32,1,-2691.0,-2774.0,-2482.0,-2720.0
NO.33,2,-2413.0,-2428.0,-1936.0,-2376.0
NO.34,1,-2967.0,-2985.0,-2549.0,-2694.0
NO.35,2,-2427.0,-2358.0,-2229.0,-2064.0
NO.36,2,-2115.0,-2154.0,-1285.0,-1535.0
NO.37,1,-3863.0,-3888.0,-3656.0,-3823.0
NO.38,2,-2491.0,-2313.0,-2388.0,-2276.0
NO.39,2,-2376.0,-2269.0,-2379.0,-2241.0
NO.40,1,-3531.0,-3942.0,-3243.0,-3729.0
NO.41,1,-2841.0,-2953.0,-2536.0,-3036.0
NO.42,2,-2295.0,-2386.0,-2141.0,-2274.0
NO.43,1,-3861.0,-4060.0,-3743.0,-3825.0
NO.44,1,-4497.0,-4534.0,-4339.0,-4459.0
NO.45,1,-3809.0,-3900.0,-3773.0,-3448.0
NO.46,1,-3214.0,-3051.0,-3041.0,-2889.0
NO.47,1,-4567.0,-4598.0,-4550.0,-4524.0
NO.48,0,-756.0,-728.0,-756.0,-756.0
NO.49,0,-27.0,-130.0,-29.0,-62.0
NO.50,1,-3961.0,-4129.0,-3936.0,-3825.0
NO.51,1,-4248.0,-4482.0,-4141.0,-4527.0
NO.52,1,-3820.0,-3771.0,-3757.0,-3513.0
NO.53,1,-3637.0,-2828.0,-2787.0,-2141.0
NO.54,2,-2372.0,-2407.0,-2351.0,-2358.0
